"初始事件的发生时间","channel_name","国家地区","newUsersid数","指标","当日","第1日","第2日","第3日","第4日","第5日","第6日","第7日","第8日","第9日","第10日","第11日","第12日","第13日","第14日","第15日","第16日","第17日","第18日","第19日","第20日","第21日","第22日","第23日","第24日","第25日","第26日","第27日","第28日","第29日","第30日","第31日","第32日","第33日","第34日","第35日","第36日","第37日","第38日","第39日","第40日","第41日","第42日","第43日","第44日","第45日","第46日","第47日","第48日","第49日","第50日","第51日","第52日","第53日","第54日","第55日","第56日","第57日","第58日","第59日","第60日"
"阶段值","AppStore","美国","113","留存人数","113","41","31","22","21","17","17","20","15","15","16","11","12","12","10","9","6","7","7","6","4","6","5","4","5","3","6","6","3","3","4","3","2","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"阶段值","AppStore","美国","113","留存率","100%","36.28%","27.93%","19.82%","18.92%","15.32%","15.32%","18.18%","13.64%","13.64%","14.55%","10%","10.91%","10.91%","9.17%","8.33%","5.61%","6.86%","6.86%","6.06%","4.17%","6.38%","5.43%","4.4%","5.81%","3.75%","7.69%","8.57%","4.55%","4.84%","7.41%","7.14%","6.45%","7.14%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"阶段值","googleplay","越南","106","留存人数","106","35","19","15","11","8","9","7","7","6","6","5","5","6","5","7","5","5","5","5","4","2","2","3","2","1","2","2","1","1","2","2","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"阶段值","googleplay","越南","106","留存率","100%","33.33%","18.1%","14.42%","10.68%","7.84%","8.82%","6.86%","7.07%","6.06%","6.19%","5.26%","5.26%","6.32%","5.38%","7.69%","5.62%","5.62%","5.75%","5.75%","4.65%","2.44%","2.5%","3.9%","2.63%","1.33%","3.03%","3.08%","1.67%","1.79%","4%","4.65%","3.23%","4.76%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"阶段值","googleplay","韩国","75","留存人数","75","24","11","10","12","8","7","7","8","7","7","5","6","5","5","5","5","4","4","4","5","4","4","4","4","2","2","2","2","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"阶段值","googleplay","韩国","75","留存率","100%","32%","14.67%","13.33%","16%","10.81%","9.59%","9.86%","11.27%","9.86%","10%","7.14%","8.57%","7.14%","7.46%","7.58%","7.69%","6.35%","6.56%","6.56%","8.47%","7.02%","8.7%","9.3%","10.81%","6.25%","6.67%","7.14%","7.14%","4%","0%","0%","0%","0%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"阶段值","googleplay","泰国","72","留存人数","72","23","12","11","7","5","6","3","3","4","3","3","2","3","2","2","1","1","1","1","1","1","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"阶段值","googleplay","泰国","72","留存率","100%","31.94%","16.9%","15.49%","9.86%","7.46%","8.96%","4.62%","4.62%","6.35%","4.76%","4.84%","3.28%","5%","3.77%","3.85%","2.08%","2.33%","2.44%","2.44%","2.44%","2.56%","2.7%","2.7%","2.7%","2.94%","0%","0%","0%","0%","0%","0%","0%","0%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"阶段值","AppStore","越南","58","留存人数","58","34","24","18","14","17","15","10","15","11","11","9","9","10","8","7","6","4","6","5","2","3","3","2","1","1","1","1","1","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"阶段值","AppStore","越南","58","留存率","100%","58.62%","41.38%","31.03%","24.56%","29.82%","26.79%","17.86%","26.79%","19.64%","19.64%","16.07%","16.36%","18.87%","15.09%","13.21%","11.32%","7.69%","12%","10%","4%","6%","6%","4.08%","2.08%","2.17%","2.27%","2.33%","2.44%","2.63%","3.57%","4%","4.76%","0%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"阶段值","googleplay","马来西亚","52","留存人数","52","23","11","7","7","6","3","4","4","3","6","3","2","2","1","3","2","1","1","1","1","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"阶段值","googleplay","马来西亚","52","留存率","100%","44.23%","21.15%","13.46%","13.46%","12%","6.12%","8.33%","8.33%","6.25%","12.77%","6.67%","4.76%","5%","2.63%","8.57%","5.88%","3.33%","3.45%","3.57%","3.85%","4.35%","4.35%","4.35%","4.55%","0%","0%","0%","0%","0%","0%","0%","0%","0%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"阶段值","AppStore","加拿大","37","留存人数","37","17","12","11","9","11","9","8","6","7","5","5","6","7","7","5","4","4","4","4","4","3","2","2","3","2","2","3","3","2","2","2","2","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"阶段值","AppStore","加拿大","37","留存率","100%","45.95%","32.43%","29.73%","24.32%","29.73%","24.32%","21.62%","16.22%","18.92%","13.51%","13.51%","16.22%","18.92%","18.92%","13.51%","10.81%","10.81%","10.81%","11.11%","12.5%","10%","6.67%","6.67%","10.71%","7.69%","8.7%","14.29%","16.67%","11.76%","12.5%","14.29%","16.67%","14.29%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"阶段值","googleplay","美国","37","留存人数","37","12","6","6","5","3","6","2","4","5","3","2","3","2","2","2","2","2","2","2","2","2","1","2","1","2","2","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"阶段值","googleplay","美国","37","留存率","100%","32.43%","16.22%","16.67%","13.89%","8.33%","16.67%","5.56%","11.11%","13.89%","8.57%","5.71%","8.57%","5.88%","5.88%","6.25%","6.45%","6.9%","7.14%","7.14%","8.33%","9.09%","4.55%","9.52%","5%","10%","10%","5%","5.88%","0%","0%","0%","0%","0%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"阶段值","AppStore","韩国","35","留存人数","35","16","11","11","6","7","8","7","5","6","7","6","3","4","5","5","6","5","6","2","2","3","2","1","3","2","2","1","2","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"阶段值","AppStore","韩国","35","留存率","100%","47.06%","32.35%","32.35%","17.65%","20.59%","23.53%","20.59%","14.71%","17.65%","20.59%","17.65%","9.38%","12.5%","15.63%","16.13%","19.35%","16.13%","20%","6.67%","6.9%","10.34%","6.9%","3.85%","12%","9.09%","9.52%","5.26%","11.11%","5.56%","6.67%","0%","0%","0%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"阶段值","AppStore","泰国","35","留存人数","35","16","10","11","10","7","7","8","6","8","5","6","5","5","4","3","3","3","2","1","1","2","2","1","1","1","1","1","0","1","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"阶段值","AppStore","泰国","35","留存率","100%","45.71%","28.57%","31.43%","28.57%","20%","20.59%","23.53%","18.18%","24.24%","15.15%","18.18%","15.15%","15.15%","12.5%","10%","10%","10%","6.9%","3.45%","3.45%","6.9%","7.14%","3.57%","3.57%","4%","4.17%","4.55%","0%","5%","5.26%","0%","7.69%","0%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"阶段值","AppStore","澳大利亚","33","留存人数","33","13","8","9","6","6","7","7","6","5","5","5","4","5","3","2","3","4","3","2","3","3","2","3","3","1","1","2","1","2","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"阶段值","AppStore","澳大利亚","33","留存率","100%","39.39%","24.24%","27.27%","18.75%","18.75%","21.88%","23.33%","20%","16.67%","16.67%","17.24%","13.79%","17.24%","10.71%","7.14%","10.71%","14.29%","10.71%","7.14%","10.71%","10.71%","7.14%","11.11%","11.54%","4%","4.17%","9.09%","4.55%","11.11%","6.67%","0%","0%","0%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"阶段值","googleplay","印度尼西亚","33","留存人数","33","8","4","3","3","2","2","2","2","2","2","2","1","1","1","1","1","1","1","1","1","1","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"阶段值","googleplay","印度尼西亚","33","留存率","100%","24.24%","12.5%","9.38%","9.38%","6.25%","6.25%","7.14%","7.14%","7.41%","8.7%","8.7%","4.35%","4.35%","4.55%","4.55%","5%","5.56%","5.56%","5.56%","5.56%","5.56%","0%","7.69%","10%","0%","0%","0%","0%","0%","0%","0%","0%","0%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"阶段值","googleplay","俄罗斯","32","留存人数","32","9","9","7","9","6","5","5","3","2","2","2","3","2","2","2","0","1","0","0","0","0","0","0","1","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"阶段值","googleplay","俄罗斯","32","留存率","100%","29.03%","29.03%","22.58%","31.03%","20.69%","17.24%","17.24%","10.34%","7.14%","7.41%","7.69%","11.54%","8.33%","8.33%","8.33%","0%","4.35%","0%","0%","0%","0%","0%","0%","5.26%","5.26%","5.26%","5.26%","5.26%","0%","0%","0%","0%","0%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"阶段值","AppStore","马来西亚","30","留存人数","30","17","9","7","9","9","5","8","4","5","4","5","6","6","5","4","6","3","3","3","4","3","4","4","3","3","2","3","3","2","2","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"阶段值","AppStore","马来西亚","30","留存率","100%","56.67%","30%","23.33%","32.14%","32.14%","18.52%","29.63%","14.81%","18.52%","16%","20%","24%","24%","20%","16.67%","25%","12.5%","12.5%","13.04%","17.39%","13.04%","17.39%","17.39%","13.64%","13.64%","9.09%","14.29%","16.67%","12.5%","15.38%","9.09%","0%","0%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"阶段值","AppStore","英国","26","留存人数","26","8","9","7","7","7","7","7","5","6","5","6","4","5","4","4","5","4","4","4","4","3","5","4","2","3","2","2","2","2","2","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"阶段值","AppStore","英国","26","留存率","100%","30.77%","34.62%","26.92%","29.17%","29.17%","29.17%","30.43%","21.74%","26.09%","21.74%","26.09%","17.39%","22.73%","18.18%","18.18%","22.73%","18.18%","19.05%","19.05%","19.05%","14.29%","23.81%","20%","10%","16.67%","11.11%","11.11%","13.33%","13.33%","15.38%","11.11%","14.29%","16.67%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"阶段值","googleplay","墨西哥","24","留存人数","24","11","7","6","5","6","3","3","5","3","2","3","3","1","2","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"阶段值","googleplay","墨西哥","24","留存率","100%","45.83%","29.17%","25%","21.74%","27.27%","13.64%","13.64%","22.73%","14.29%","9.52%","15%","15.79%","5.56%","11.11%","5.56%","5.88%","5.88%","6.25%","7.14%","9.09%","9.09%","12.5%","12.5%","14.29%","14.29%","16.67%","20%","25%","25%","25%","33.33%","0%","0%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"阶段值","googleplay","新加坡","17","留存人数","17","5","6","1","4","2","1","0","1","0","1","1","1","1","0","1","1","1","1","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"阶段值","googleplay","新加坡","17","留存率","100%","29.41%","35.29%","5.88%","25%","12.5%","6.25%","0%","7.69%","0%","7.69%","7.69%","7.69%","7.69%","0%","7.69%","7.69%","7.69%","7.69%","8.33%","8.33%","11.11%","12.5%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"阶段值","googleplay","巴西","17","留存人数","17","4","2","0","3","1","2","2","1","1","1","2","2","1","0","2","1","2","0","0","1","1","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"阶段值","googleplay","巴西","17","留存率","100%","23.53%","11.76%","0%","17.65%","5.88%","11.76%","11.76%","5.88%","5.88%","5.88%","12.5%","14.29%","7.14%","0%","16.67%","8.33%","16.67%","0%","0%","11.11%","11.11%","11.11%","0%","0%","16.67%","0%","0%","0%","0%","0%","0%","0%","0%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"阶段值","AppStore","新加坡","14","留存人数","14","7","5","4","3","4","4","4","3","3","3","1","1","3","1","2","1","1","1","1","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"阶段值","AppStore","新加坡","14","留存率","100%","50%","35.71%","28.57%","21.43%","28.57%","28.57%","28.57%","21.43%","23.08%","23.08%","7.69%","7.69%","23.08%","7.69%","15.38%","7.69%","8.33%","8.33%","8.33%","8.33%","8.33%","8.33%","8.33%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"阶段值","AppStore","菲律宾","13","留存人数","13","6","5","2","1","0","0","1","1","2","1","1","1","1","0","1","0","0","1","0","1","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"阶段值","AppStore","菲律宾","13","留存率","100%","46.15%","38.46%","15.38%","7.69%","0%","0%","7.69%","8.33%","16.67%","8.33%","8.33%","8.33%","8.33%","0%","8.33%","0%","0%","8.33%","0%","8.33%","8.33%","0%","8.33%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"阶段值","googleplay","加拿大","12","留存人数","12","3","1","2","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"阶段值","googleplay","加拿大","12","留存率","100%","25%","8.33%","16.67%","0%","0%","0%","8.33%","0%","0%","0%","8.33%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"阶段值","AppStore","新西兰","12","留存人数","12","3","2","3","2","2","2","2","1","1","1","1","1","1","1","1","1","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"阶段值","AppStore","新西兰","12","留存率","100%","25%","16.67%","25%","16.67%","16.67%","16.67%","16.67%","8.33%","8.33%","8.33%","8.33%","8.33%","8.33%","8.33%","8.33%","9.09%","18.18%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"阶段值","googleplay","法国","11","留存人数","11","3","2","1","1","2","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"阶段值","googleplay","法国","11","留存率","100%","27.27%","18.18%","9.09%","9.09%","18.18%","0%","0%","0%","10%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"阶段值","AppStore","俄罗斯","10","留存人数","10","3","2","3","2","1","2","2","0","1","1","0","2","2","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"阶段值","AppStore","俄罗斯","10","留存率","100%","30%","22.22%","33.33%","22.22%","11.11%","22.22%","22.22%","0%","11.11%","11.11%","0%","22.22%","22.22%","11.11%","11.11%","11.11%","12.5%","12.5%","12.5%","12.5%","12.5%","12.5%","12.5%","12.5%","12.5%","12.5%","12.5%","12.5%","12.5%","14.29%","0%","33.33%","50%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"阶段值","googleplay","智利","10","留存人数","10","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"阶段值","googleplay","智利","10","留存率","100%","10%","10%","10%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"阶段值","googleplay","多米尼加共和国","10","留存人数","10","2","1","1","1","1","1","1","1","0","0","0","0","1","1","0","0","1","0","0","1","1","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"阶段值","googleplay","多米尼加共和国","10","留存率","100%","20%","10%","10%","10%","10%","10%","10%","10%","0%","0%","0%","0%","11.11%","11.11%","0%","0%","11.11%","0%","0%","11.11%","11.11%","0%","11.11%","0%","0%","0%","11.11%","0%","0%","0%","0%","0%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"阶段值","googleplay","阿根廷","10","留存人数","10","1","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"阶段值","googleplay","阿根廷","10","留存率","100%","10%","0%","0%","0%","0%","0%","0%","10%","0%","11.11%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","25%","0%","0%","0%","0%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"阶段值","googleplay","德国","10","留存人数","10","2","1","2","1","2","2","1","1","1","1","1","1","1","1","1","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"阶段值","googleplay","德国","10","留存率","100%","20%","10%","20%","10%","20%","22.22%","11.11%","14.29%","14.29%","14.29%","14.29%","14.29%","14.29%","14.29%","14.29%","14.29%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","20%","0%","0%","0%","0%","0%","0%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"阶段值","googleplay","菲律宾","9","留存人数","9","3","0","1","1","1","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"阶段值","googleplay","菲律宾","9","留存率","100%","33.33%","0%","11.11%","11.11%","11.11%","0%","0%","11.11%","11.11%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"阶段值","AppStore","德国","9","留存人数","9","8","3","3","3","3","3","3","3","3","3","3","2","1","2","2","2","2","2","1","1","2","2","2","2","1","2","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"阶段值","AppStore","德国","9","留存率","100%","88.89%","37.5%","37.5%","37.5%","37.5%","37.5%","37.5%","37.5%","37.5%","37.5%","37.5%","25%","12.5%","25%","25%","25%","25%","25%","12.5%","12.5%","25%","25%","25%","28.57%","14.29%","28.57%","28.57%","33.33%","0%","0%","0%","0%","0%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"阶段值","AppStore","印度尼西亚","8","留存人数","8","4","4","3","2","3","1","2","2","2","2","2","2","2","2","2","2","2","2","1","0","1","1","1","2","2","2","2","2","2","2","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"阶段值","AppStore","印度尼西亚","8","留存率","100%","50%","50%","37.5%","25%","37.5%","12.5%","25%","25%","25%","25%","25%","25%","25%","25%","25%","28.57%","28.57%","33.33%","16.67%","0%","16.67%","16.67%","16.67%","33.33%","33.33%","33.33%","33.33%","33.33%","33.33%","33.33%","20%","0%","0%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
