,cardName,winnum,losenum
267,引力炸弹,0,2
268,注射器 针妮,0,2
269,羽毛球 拉丽,0,2
2610,电吉他 和鸣,0,2
2611,尖刺墙,0,2
270,电吉他 和鸣,0,2
271,茶壶 灵愈,0,2
272,牙膏 露洁,0,2
273,鼠标 点点,0,2
274,雨伞 守心,0,2
275,见证我！,0,2
276,海浪冲击,0,2
277,补水计划,0,2
278,注射器 针妮,0,2
279,羽毛球 拉丽,0,2
2710,纸巾 缠缠,0,1
2711,铅笔 追忆,0,1
280,电吉他 和鸣,1,1
281,茶壶 灵愈,1,1
282,羽毛球 拉丽,1,1
283,胡乱抓挠,1,1
284,萨克斯 莉莉,1,1
285,刀 百炼,1,1
286,风暴针刺,1,1
287,电池 焦耳,1,1
288,铅笔 追忆,1,1
289,鼠标 点点,1,1
2810,纸巾 缠缠,2,0
2811,补水计划,2,0
290,电吉他 和鸣,1,1
291,茶壶 灵愈,1,1
292,羽毛球 拉丽,1,1
293,胡乱抓挠,1,1
294,萨克斯 莉莉,1,1
295,风暴针刺,1,1
296,电池 焦耳,1,1
297,铅笔 追忆,1,1
298,鼠标 点点,1,1
299,巨雷枪,1,1
2910,纸巾 缠缠,1,1
2911,接力,1,1
300,电吉他 和鸣,2,2
301,茶壶 灵愈,2,2
302,羽毛球 拉丽,2,2
303,胡乱抓挠,2,2
304,萨克斯 莉莉,2,2
305,风暴针刺,2,2
306,电池 焦耳,2,2
307,铅笔 追忆,2,2
308,鼠标 点点,2,2
309,巨雷枪,2,2
3010,摩托 赤狸,0,1
3011,铅笔 追忆,0,1
312,羽毛球 拉丽,1,0
313,胡乱抓挠,1,0
314,萨克斯 莉莉,1,0
315,风暴针刺,1,0
316,电池 焦耳,1,0
317,铅笔 追忆,1,0
318,鼠标 点点,1,0
319,巨雷枪,1,0
3110,摩托 赤狸,0,1
3111,纯净水 满满,0,1
320,电吉他 和鸣,1,1
321,茶壶 灵愈,1,1
322,有丝分裂,1,1
323,裂地斩,1,1
324,纸巾 缠缠,1,1
325,魅惑,1,1
326,羽毛球 拉丽,1,1
327,引力炸弹,1,1
328,海浪冲击,1,1
329,留声机 回音,1,1
3210,摩托 赤狸,2,0
3211,尖刺墙,2,0
330,电吉他 和鸣,0,1
331,茶壶 灵愈,0,1
332,魅惑,0,1
333,引力炸弹,0,1
334,裂地斩,0,1
335,电池 焦耳,0,1
336,铅笔 追忆,0,1
337,牛奶 银河,0,1
338,补水计划,0,1
339,见证我！,0,1
3310,雨伞 守心,2,1
3311,电吉他 和鸣,2,1
340,电吉他 和鸣,1,5
341,茶壶 灵愈,1,5
342,见证我！,1,5
343,羽毛球 拉丽,1,5
344,风暴针刺,1,5
345,剪刀 刺痛,1,5
346,爆裂药瓶,1,5
347,引力炸弹,1,5
348,萨克斯 莉莉,1,5
349,牙膏 露洁,1,5
3410,雨伞 守心,0,1
3411,摩托 赤狸,0,1
350,电吉他 和鸣,0,1
351,茶壶 灵愈,0,1
352,爆裂药瓶,0,1
353,海浪冲击,0,1
354,补水计划,0,1
355,引力炸弹,0,1
356,牙膏 露洁,0,1
357,羽毛球 拉丽,0,1
358,剪刀 刺痛,0,1
359,胡乱抓挠,0,1
3510,雨伞 守心,0,2
3511,电池 欧姆,0,2
360,电吉他 和鸣,1,0
361,茶壶 灵愈,1,0
362,重新出发,1,0
363,鼠标 点点,1,0
364,雨伞 守心,1,0
365,见证我！,1,0
366,海浪冲击,1,0
367,引力炸弹,1,0
368,注射器 针妮,1,0
369,羽毛球 拉丽,1,0
3610,雨伞 守心,1,5
3611,牙膏 露洁,1,5
370,电吉他 和鸣,1,1
371,茶壶 灵愈,1,1
372,重新出发,1,1
373,有丝分裂,1,1
374,裂地斩,1,1
375,盔甲 怀抱,1,1
376,铅笔 追忆,1,1
377,牛奶 银河,1,1
378,补水计划,1,1
379,见证我！,1,1
3710,雨伞 守心,1,0
3711,牙膏 露洁,1,0
380,电吉他 和鸣,1,0
381,茶壶 灵愈,1,0
382,海浪冲击,1,0
383,超电磁炮,1,0
384,爆裂药瓶,1,0
385,巨兽陷阱,1,0
386,啤酒瓶 破碎,1,0
387,电池 焦耳,1,0
388,铅笔 追忆,1,0
389,鼠标 点点,1,0
3810,雨伞 守心,1,0
3811,电池 伏特,1,0
390,电吉他 和鸣,2,0
391,留声机 回音,2,0
392,临摹,2,0
393,飞砖,2,0
394,见证我！,2,0
395,茶壶 灵愈,2,0
396,蓄力,2,0
397,滋水,2,0
398,裂地斩,2,0
399,重新出发,2,0
3910,雨伞 守心,1,0
3911,爆米花 米莉,1,0
400,电吉他 和鸣,1,2
401,电池 欧姆,1,2
402,纯净水 满满,1,2
403,红汽水 浅浅,1,2
404,绿汽水 浅浅,1,2
405,肥皂 滑滑,1,2
406,羽毛球 拉丽,1,2
407,引力炸弹,1,2
408,海浪冲击,1,2
409,红汽水 满满,1,2
4010,雨伞 守心,1,0
4011,爆米花 米莉,1,0
412,临摹,2,1
413,飞砖,2,1
414,见证我！,2,1
415,茶壶 灵愈,2,1
416,蓄力,2,1
417,滋水,2,1
418,裂地斩,2,1
419,重新出发,2,1
4110,雨伞 守心,3,0
4111,爆米花 米莉,3,0
420,电吉他 和鸣,4,1
421,萨克斯 莉莉,4,1
422,羽毛球 拉丽,4,1
423,精准爆破,4,1
424,电池 欧姆,4,1
425,风暴针刺,4,1
426,电池 焦耳,4,1
427,铅笔 追忆,4,1
428,鼠标 点点,4,1
429,巨雷枪,4,1
4210,雨伞 守心,1,0
4211,羽毛球 拉丽,1,0
430,电吉他 和鸣,2,3
431,萨克斯 莉莉,2,3
432,羽毛球 拉丽,2,3
433,补水计划,2,3
434,电池 欧姆,2,3
435,风暴针刺,2,3
436,电池 焦耳,2,3
437,铅笔 追忆,2,3
438,鼠标 点点,2,3
439,巨雷枪,2,3
4310,雨伞 守心,1,3
4311,自行车 闪电,1,3
440,电吉他 和鸣,0,1
441,萨克斯 莉莉,0,1
442,羽毛球 拉丽,0,1
443,胡乱抓挠,0,1
444,电池 欧姆,0,1
445,风暴针刺,0,1
446,电池 焦耳,0,1
447,铅笔 追忆,0,1
448,鼠标 点点,0,1
449,巨雷枪,0,1
4410,雨伞 守心,0,1
4411,纯净水 浅浅,0,1
450,电吉他 和鸣,1,0
451,电池 焦耳,1,0
452,萨克斯 莉莉,1,0
453,引力炸弹,1,0
454,海浪冲击,1,0
455,剪刀 刺痛,1,0
456,羽毛球 拉丽,1,0
457,纯净水 浅浅,1,0
458,红汽水 浅浅,1,0
459,爆裂药瓶,1,0
4510,雨伞 守心,0,1
4511,盔甲 怀抱,0,1
460,电吉他 和鸣,1,1
461,电池 焦耳,1,1
462,铅笔 追忆,1,1
463,超电磁炮,1,1
464,海浪冲击,1,1
465,羽毛球 拉丽,1,1
466,鼠标 点点,1,1
467,刀 藏锋,1,1
468,萨克斯 莉莉,1,1
469,风暴针刺,1,1
4610,雨伞 守心,1,0
4611,弹射锯片,1,0
470,电吉他 和鸣,3,5
471,电池 焦耳,3,5
472,铅笔 追忆,3,5
473,超电磁炮,3,5
474,海浪冲击,3,5
475,羽毛球 拉丽,3,5
476,鼠标 点点,3,5
477,刀 藏锋,3,5
478,刀 百炼,3,5
479,风暴针刺,3,5
4710,雨伞 守心,2,2
4711,精准引导,2,2
480,电吉他 和鸣,1,0
481,电池 焦耳,1,0
482,铅笔 追忆,1,0
483,超电磁炮,1,0
484,海浪冲击,1,0
485,羽毛球 拉丽,1,0
486,鼠标 点点,1,0
487,刀 藏锋,1,0
488,刀 百炼,1,0
489,风暴针刺,1,0
4810,雨伞 守心,0,1
4811,裂地斩,0,1
490,电吉他 和鸣,1,0
491,电池 焦耳,1,0
492,临摹,1,0
493,茶壶 灵愈,1,0
494,电扇 彩虹,1,0
495,海浪冲击,1,0
496,羽毛球 拉丽,1,0
497,鼠标 点点,1,0
498,补水计划,1,0
499,牛奶 银河,1,0
4910,雨伞 守心,0,1
4911,巨雷枪,0,1
500,电吉他 和鸣,0,1
501,电池 焦耳,0,1
502,临摹,0,1
503,茶壶 灵愈,0,1
504,电扇 彩虹,0,1
505,海浪冲击,0,1
506,羽毛球 拉丽,0,1
507,鼠标 点点,0,1
508,补水计划,0,1
509,牛奶 银河,0,1
5010,雨伞 守心,0,1
5011,重新出发,0,1
512,海浪冲击,2,1
513,超电磁炮,2,1
514,胡乱抓挠,2,1
515,留声机 回音,2,1
516,羽毛球 拉丽,2,1
517,电池 欧姆,2,1
518,茶壶 灵愈,2,1
519,引力炸弹,2,1
5110,雨伞 守心,1,2
5111,临摹,1,2
520,电吉他 和鸣,2,1
521,时钟 晨曦,2,1
522,爆米花 米莉,2,1
523,羽毛球 拉丽,2,1
524,茶壶 灵愈,2,1
525,蓄力,2,1
526,海浪冲击,2,1
527,裂地斩,2,1
528,牛奶 银河,2,1
529,电扇 彩虹,2,1
5210,雨伞 守心,0,1
5211,超电磁炮,0,1
530,电吉他 和鸣,1,2
531,时钟 晨曦,1,2
532,爆米花 米莉,1,2
533,羽毛球 拉丽,1,2
534,茶壶 灵愈,1,2
535,蓄力,1,2
536,海浪冲击,1,2
537,裂地斩,1,2
538,见证我！,1,2
539,电扇 彩虹,1,2
5310,茶壶 灵愈,0,1
5311,纸巾 缠缠,0,1
540,电吉他 和鸣,0,1
541,时钟 晨曦,0,1
542,爆米花 米莉,0,1
543,羽毛球 拉丽,0,1
544,电池 欧姆,0,1
545,超电磁炮,0,1
546,海浪冲击,0,1
547,啤酒瓶 破碎,0,1
548,牛奶 银河,0,1
549,铅笔 追忆,0,1
5410,茶壶 灵愈,1,0
5411,时钟 晨曦,1,0
550,电吉他 和鸣,1,1
551,铅笔 追忆,1,1
552,鼠标 点点,1,1
553,刀 藏锋,1,1
554,爆裂药瓶,1,1
555,刀 百炼,1,1
556,引力炸弹,1,1
557,风暴针刺,1,1
558,胡乱抓挠,1,1
559,超电磁炮,1,1
5510,茶壶 灵愈,0,1
5511,羽毛球 拉丽,0,1
560,电吉他 和鸣,0,2
561,铅笔 追忆,0,2
562,纯净水 浅浅,0,2
563,红汽水 浅浅,0,2
564,引导,0,2
565,裂地斩,0,2
566,羽毛球 拉丽,0,2
567,引力炸弹,0,2
568,胡乱抓挠,0,2
569,海浪冲击,0,2
5610,茶壶 灵愈,1,1
5611,盔甲 怀抱,1,1
570,电吉他 和鸣,0,1
571,橡皮 忘怀,0,1
572,爆裂药瓶,0,1
573,雨伞 守心,0,1
574,接力,0,1
575,牙膏 露洁,0,1
576,刀 藏锋,0,1
577,电池 欧姆,0,1
578,茶壶 灵愈,0,1
579,注射器 针妮,0,1
5710,茶壶 灵愈,1,0
5711,海浪冲击,1,0
580,电吉他 和鸣,0,1
581,橡皮 忘怀,0,1
582,爆裂药瓶,0,1
583,引力炸弹,0,1
584,接力,0,1
585,牙膏 露洁,0,1
586,刀 藏锋,0,1
587,电池 欧姆,0,1
588,修建工事,0,1
589,注射器 针妮,0,1
5810,留声机 回音,1,0
5811,鼠标 点点,1,0
590,电吉他 和鸣,0,1
591,牙膏 露洁,0,1
592,风暴针刺,0,1
593,鼠标 点点,0,1
594,嗜血杀戮,0,1
595,刀 藏锋,0,1
596,海浪冲击,0,1
597,超电磁炮,0,1
598,胡乱抓挠,0,1
599,羽毛球 拉丽,0,1
5910,留声机 回音,0,1
5911,有丝分裂,0,1
600,电吉他 和鸣,0,1
601,书 幻梦,0,1
602,茶壶 灵愈,0,1
603,雨伞 守心,0,1
604,超电磁炮,0,1
605,胡乱抓挠,0,1
606,鼠标 点点,0,1
607,海浪冲击,0,1
608,爆裂药瓶,0,1
609,铅笔 追忆,0,1
6010,留声机 回音,2,1
6011,超电磁炮,2,1
612,茶壶 灵愈,0,2
613,羽毛球 拉丽,0,2
614,超电磁炮,0,2
615,鼠标 点点,0,2
616,海浪冲击,0,2
617,雷枪,0,2
618,铅笔 追忆,0,2
619,电池 焦耳,0,2
6110,电扇 彩虹,3,3
6111,橡皮 忘怀,3,3
620,电吉他 和鸣,0,1
621,书 幻梦,0,1
622,茶壶 灵愈,0,1
623,羽毛球 拉丽,0,1
624,超电磁炮,0,1
625,鼠标 点点,0,1
626,海浪冲击,0,1
627,全力滋水,0,1
628,铅笔 追忆,0,1
629,电池 焦耳,0,1
6210,电池 欧姆,1,0
6211,时钟 晨曦,1,0
630,电吉他 和鸣,1,2
631,书 幻梦,1,2
632,修建工事,1,2
633,摩托 赤狸,1,2
634,橡皮 忘怀,1,2
635,羽毛球 拉丽,1,2
636,注射器 针妮,1,2
637,超电磁炮,1,2
638,胡乱抓挠,1,2
639,电池 伏特,1,2
6310,电池 欧姆,0,1
6311,电池 伏特,0,1
640,电吉他 和鸣,3,2
641,书 幻梦,3,2
642,临摹,3,2
643,牛奶 银河,3,2
644,见证我！,3,2
645,补水计划,3,2
646,嗜血杀戮,3,2
647,弹簧安装,3,2
648,裂地斩,3,2
649,重新出发,3,2
6410,电池 欧姆,4,3
6411,羽毛球 拉丽,4,3
650,电吉他 和鸣,3,2
651,书 幻梦,3,2
652,临摹,3,2
653,飞砖,3,2
654,见证我！,3,2
655,茶壶 灵愈,3,2
656,蓄力,3,2
657,滋水,3,2
658,裂地斩,3,2
659,重新出发,3,2
6510,电池 欧姆,1,0
6511,纯净水 浅浅,1,0
660,电吉他 和鸣,0,1
661,书 幻梦,0,1
662,临摹,0,1
663,飞砖,0,1
664,见证我！,0,1
665,补水计划,0,1
666,蓄力,0,1
667,滋水,0,1
668,裂地斩,0,1
669,重新出发,0,1
6610,电池 欧姆,1,0
6611,引力炸弹,1,0
670,电吉他 和鸣,0,2
671,爆米花 米莉,0,2
672,雨伞 守心,0,2
673,重新出发,0,2
674,茶壶 灵愈,0,2
675,羽毛球 拉丽,0,2
676,海浪冲击,0,2
677,补水计划,0,2
678,见证我！,0,2
679,纯净水 浅浅,0,2
6710,电池 欧姆,0,2
6711,临摹,0,2
680,电吉他 和鸣,1,4
681,爆米花 米莉,1,4
682,雨伞 守心,1,4
683,重新出发,1,4
684,茶壶 灵愈,1,4
685,羽毛球 拉丽,1,4
686,海浪冲击,1,4
687,补水计划,1,4
688,见证我！,1,4
689,纯净水 浅浅,1,4
6810,萨克斯 莉莉,0,1
6811,雨伞 守心,0,1
690,电吉他 和鸣,0,1
691,爆米花 米莉,0,1
692,茶壶 灵愈,0,1
693,电池 欧姆,0,1
694,羽毛球 拉丽,0,1
695,胡乱抓挠,0,1
696,超电磁炮,0,1
697,海浪冲击,0,1
698,牙膏 露洁,0,1
699,铅笔 追忆,0,1
6910,萨克斯 莉莉,3,8
6911,爆裂药瓶,3,8
700,电吉他 和鸣,1,0
701,爆米花 米莉,1,0
702,牙膏 露洁,1,0
703,纸巾 缠缠,1,0
704,羽毛球 拉丽,1,0
705,注射器 针妮,1,0
706,引力炸弹,1,0
707,铅笔 追忆,1,0
708,萨克斯 莉莉,1,0
709,鼠标 点点,1,0
7010,电池 焦耳,0,1
7011,雨伞 守心,0,1
712,牙膏 露洁,1,0
713,茶壶 灵愈,1,0
714,羽毛球 拉丽,1,0
715,注射器 针妮,1,0
716,引力炸弹,1,0
717,铅笔 追忆,1,0
718,萨克斯 莉莉,1,0
719,鼠标 点点,1,0
7110,电池 焦耳,0,1
7111,电池 伏特,0,1
720,电吉他 和鸣,0,2
721,爆米花 米莉,0,2
722,牙膏 露洁,0,2
723,有丝分裂,0,2
724,羽毛球 拉丽,0,2
725,注射器 针妮,0,2
726,引力炸弹,0,2
727,铅笔 追忆,0,2
728,萨克斯 莉莉,0,2
729,鼠标 点点,0,2
7210,电池 焦耳,0,1
7211,鼠标 点点,0,1
730,电吉他 和鸣,1,1
731,爆米花 米莉,1,1
732,牛奶 银河,1,1
733,海浪冲击,1,1
734,剪刀 刺痛,1,1
735,羽毛球 拉丽,1,1
736,电扇 彩虹,1,1
737,摩托 赤狸,1,1
738,茶壶 灵愈,1,1
739,蓄力,1,1
7310,电池 焦耳,0,1
7311,补水计划,0,1
740,电吉他 和鸣,0,1
741,爆米花 米莉,0,1
742,羽毛球 拉丽,0,1
743,注射器 针妮,0,1
744,爆裂药瓶,0,1
745,引力炸弹,0,1
746,海浪冲击,0,1
747,协力攻击,0,1
748,风暴针刺,0,1
749,铅笔 追忆,0,1
7410,电池 焦耳,8,1
7411,海浪冲击,8,1
750,电吉他 和鸣,1,0
751,爆米花 米莉,1,0
752,羽毛球 拉丽,1,0
753,魅惑,1,0
754,海浪冲击,1,0
755,书 幻梦,1,0
756,胡乱抓挠,1,0
757,风暴针刺,1,0
758,巨雷枪,1,0
759,牛奶 银河,1,0
7510,时钟 晨曦,0,1
7511,羽毛球 拉丽,0,1
760,电吉他 和鸣,0,1
761,爆米花 米莉,0,1
762,自行车 闪电,0,1
763,羽毛球 拉丽,0,1
764,电池 伏特,0,1
765,电池 欧姆,0,1
766,风暴针刺,0,1
767,电池 焦耳,0,1
768,红汽水 浅浅,0,1
769,奋力滋水,0,1
7610,时钟 晨曦,0,1
7611,盔甲 怀抱,0,1
770,电吉他 和鸣,0,1
771,爆米花 米莉,0,1
772,自行车 闪电,0,1
773,有丝分裂,0,1
774,摩托 赤狸,0,1
775,电池 欧姆,0,1
776,羽毛球 拉丽,0,1
777,鼠标 点点,0,1
778,电池 焦耳,0,1
779,绿汽水 浅浅,0,1
7710,铅笔 追忆,0,2
7711,雨伞 守心,0,2
780,电吉他 和鸣,0,1
781,爆米花 米莉,0,1
782,自行车 闪电,0,1
783,英勇祝福,0,1
784,鼠标 点点,0,1
785,海浪冲击,0,1
786,巨雷枪,0,1
787,魅惑,0,1
788,协力攻击,0,1
789,姨妈巾 玫瑰,0,1
7810,铅笔 追忆,1,2
7811,电池 焦耳,1,2
790,电吉他 和鸣,0,1
791,爆米花 米莉,0,1
792,有丝分裂,0,1
793,裂地斩,0,1
794,纸巾 缠缠,0,1
795,魅惑,0,1
796,羽毛球 拉丽,0,1
797,引力炸弹,0,1
798,海浪冲击,0,1
799,留声机 回音,0,1
7910,铅笔 追忆,1,0
7911,牙膏 露洁,1,0
800,电吉他 和鸣,4,0
801,爆米花 米莉,4,0
802,弹射锯片,4,0
803,胡乱抓挠,4,0
804,牙膏 露洁,4,0
805,羽毛球 拉丽,4,0
806,茶壶 灵愈,4,0
807,超电磁炮,4,0
808,铅笔 追忆,4,0
809,风暴针刺,4,0
8010,铅笔 追忆,0,1
8011,爆米花 米莉,0,1
812,弹射锯片,1,0
813,胡乱抓挠,1,0
814,牙膏 露洁,1,0
815,羽毛球 拉丽,1,0
816,海浪冲击,1,0
817,超电磁炮,1,0
818,铅笔 追忆,1,0
819,风暴针刺,1,0
8110,铅笔 追忆,2,0
8111,鼠标 点点,2,0
820,电吉他 和鸣,0,1
821,爆米花 米莉,0,1
822,裂地斩,0,1
823,电池 欧姆,0,1
824,纸巾 缠缠,0,1
825,电池 伏特,0,1
826,海浪冲击,0,1
827,冰冻炸弹,0,1
