cards,battlenum,winnum,losenum
"[""10010"",""10014"",""10028"",""20044"",""10018"",""20026"",""10019"",""10021"",""10030"",""20036"",""20043"",""20049""]",1,1,0
"[""10010"",""10014"",""20010"",""20024"",""10011"",""20011"",""10028"",""20016"",""20050"",""10015"",""20014"",""10026""]",2,1,1
"[""10010"",""10014"",""20011"",""20016"",""20024"",""10019"",""10021"",""10027"",""20034"",""20014"",""10028"",""10025""]",1,0,1
"[""10010"",""10014"",""20014"",""10028"",""20026"",""10034"",""20043"",""20016"",""10018"",""10023"",""10030"",""20048""]",6,1,5
"[""10010"",""10014"",""20043"",""20050"",""20034"",""20016"",""10023"",""10028"",""10034"",""20044"",""10030"",""10021""]",1,0,1
"[""10010"",""10014"",""20046"",""10030"",""10013"",""20014"",""20050"",""20016"",""10031"",""10028"",""20043"",""10017""]",1,1,0
"[""10010"",""10014"",""20046"",""20010"",""20024"",""10045"",""10021"",""10027"",""20034"",""20014"",""10028"",""10025""]",2,1,1
"[""10010"",""10014"",""20050"",""20048"",""20043"",""20041"",""10046"",""10019"",""10021"",""10030"",""20026"",""10028""]",1,1,0
"[""10010"",""10015"",""20047"",""20038"",""20014"",""10014"",""20022"",""20031"",""20024"",""20046"",""10026"",""20050""]",2,2,0
"[""10010"",""10017"",""10036"",""10037"",""10039"",""10041"",""10028"",""20016"",""20050"",""10038"",""10040"",""10035""]",3,1,2
"[""10010"",""10017"",""20047"",""20038"",""20014"",""10014"",""20022"",""20031"",""20024"",""20046"",""10026"",""20050""]",3,2,1
"[""10010"",""10018"",""10028"",""20017"",""10017"",""20026"",""10019"",""10021"",""10030"",""20036"",""20043"",""10024""]",5,4,1
"[""10010"",""10018"",""10028"",""20034"",""10017"",""20026"",""10019"",""10021"",""10030"",""20036"",""20050"",""10024""]",5,2,3
"[""10010"",""10018"",""10028"",""20044"",""10017"",""20026"",""10019"",""10021"",""10030"",""20036"",""20043"",""10024""]",1,0,1
"[""10010"",""10019"",""10018"",""20016"",""20050"",""10034"",""10028"",""10035"",""10037"",""20043"",""10030"",""20046""]",1,1,0
"[""10010"",""10019"",""10021"",""20048"",""20050"",""10028"",""10030"",""10042"",""10018"",""20026"",""20047"",""20016""]",2,1,1
"[""10010"",""10019"",""10021"",""20048"",""20050"",""10028"",""10030"",""10042"",""10043"",""20026"",""20043"",""20016""]",8,3,5
"[""10010"",""10019"",""10021"",""20048"",""20050"",""10028"",""10030"",""10042"",""10043"",""20026"",""20043"",""20042""]",1,1,0
"[""10010"",""10019"",""20047"",""10014"",""10016"",""20050"",""10028"",""10030"",""20034"",""10027"",""10026"",""20026""]",1,1,0
"[""10010"",""10019"",""20047"",""10014"",""10016"",""20050"",""10028"",""10030"",""20034"",""10027"",""10026"",""20036""]",1,0,1
"[""10010"",""10019"",""20050"",""20048"",""20044"",""10015"",""10028"",""10017"",""10014"",""20016"",""10041"",""10026""]",3,2,1
"[""10010"",""10020"",""10026"",""10028"",""10014"",""20022"",""20050"",""20024"",""10027"",""10016"",""20026"",""20036""]",3,2,1
"[""10010"",""10020"",""10026"",""10028"",""10014"",""20022"",""20050"",""20024"",""20014"",""10016"",""20034"",""20036""]",3,1,2
"[""10010"",""10020"",""10026"",""10028"",""10017"",""20048"",""20050"",""10046"",""10027"",""10021"",""20026"",""10030""]",1,0,1
"[""10010"",""10021"",""10030"",""10042"",""20043"",""10043"",""20016"",""20026"",""20044"",""20048"",""10019"",""20050""]",2,1,1
"[""10010"",""10021"",""10035"",""10037"",""20018"",""20024"",""10028"",""20016"",""20044"",""20050"",""10018"",""10030""]",2,0,2
"[""10010"",""10022"",""20043"",""10013"",""20045"",""10023"",""10042"",""10017"",""10014"",""10031"",""20042"",""10025""]",1,0,1
"[""10010"",""10022"",""20043"",""20016"",""20045"",""10023"",""10042"",""10017"",""20025"",""10031"",""20042"",""20024""]",1,0,1
"[""10010"",""10023"",""20026"",""10030"",""20027"",""10042"",""20050"",""20048"",""20044"",""10028"",""20049"",""10020""]",1,0,1
"[""10010"",""10024"",""10014"",""10013"",""20048"",""20044"",""10030"",""20050"",""20043"",""10021"",""10019"",""20010""]",1,0,1
"[""10010"",""10024"",""10014"",""10028"",""20048"",""10030"",""20050"",""20030"",""10021"",""10019"",""10015"",""10017""]",2,0,2
"[""10010"",""10024"",""10014"",""10028"",""20048"",""10030"",""20050"",""20033"",""10021"",""10019"",""20010"",""10017""]",1,0,1
"[""10010"",""10024"",""20025"",""10012"",""10022"",""10028"",""10031"",""20048"",""20044"",""10025"",""20050"",""10030""]",3,1,2
"[""10010"",""10024"",""20047"",""10027"",""20014"",""20034"",""20027"",""20023"",""20024"",""20046"",""10026"",""20050""]",5,3,2
"[""10010"",""10024"",""20047"",""20038"",""20014"",""10014"",""20022"",""20031"",""20024"",""20046"",""10026"",""20050""]",5,3,2
"[""10010"",""10024"",""20047"",""20038"",""20014"",""20034"",""20022"",""20031"",""20024"",""20046"",""10026"",""20050""]",1,0,1
"[""10010"",""10026"",""10013"",""20046"",""10014"",""10028"",""20050"",""20034"",""20014"",""10035"",""20036"",""10037""]",2,0,2
"[""10010"",""10026"",""10013"",""20046"",""10014"",""10028"",""20050"",""20034"",""20014"",""10035"",""20036"",""20024""]",5,1,4
"[""10010"",""10026"",""10014"",""10017"",""10028"",""20044"",""20048"",""20050"",""10023"",""10021"",""10030"",""10045""]",1,0,1
"[""10010"",""10026"",""10023"",""10011"",""10028"",""10031"",""20016"",""10021"",""10018"",""10030"",""20050"",""20036""]",1,1,0
"[""10010"",""10026"",""10023"",""10014"",""10028"",""10031"",""20016"",""10021"",""10018"",""10030"",""20050"",""20036""]",1,1,0
"[""10010"",""10026"",""10023"",""20010"",""10028"",""10031"",""20016"",""10021"",""10018"",""10030"",""20050"",""20036""]",2,0,2
"[""10010"",""10026"",""10027"",""20050"",""10034"",""10028"",""10016"",""10012"",""10014"",""20022"",""10032"",""20027""]",2,1,1
"[""10010"",""10026"",""10028"",""10031"",""20043"",""20016"",""20050"",""20042"",""20026"",""10021"",""10030"",""10017""]",1,0,1
"[""10010"",""10026"",""10028"",""20011"",""20050"",""10024"",""20044"",""20026"",""20036"",""10027"",""20022"",""20024""]",1,1,0
"[""10010"",""10026"",""10032"",""10028"",""10025"",""10017"",""20026"",""10019"",""10037"",""20032"",""10035"",""20048""]",1,0,1
"[""10010"",""10026"",""10032"",""20010"",""10012"",""10017"",""10028"",""10030"",""10019"",""10039"",""10036"",""20011""]",1,0,1
"[""10010"",""10026"",""10032"",""20015"",""10030"",""20050"",""20036"",""20011"",""20042"",""10029"",""20048"",""20026""]",1,0,1
"[""10010"",""10026"",""20010"",""20024"",""10011"",""20011"",""10028"",""20016"",""20050"",""10015"",""20014"",""20036""]",1,0,1
"[""10010"",""10026"",""20012"",""20044"",""10023"",""10028"",""10014"",""20048"",""10021"",""20026"",""10030"",""20043""]",4,4,0
"[""10010"",""10026"",""20012"",""20044"",""10023"",""10028"",""20050"",""20048"",""10021"",""20026"",""10030"",""20043""]",1,1,0
"[""10010"",""10026"",""20024"",""10017"",""10011"",""10025"",""20050"",""20028"",""10019"",""10030"",""20042"",""10042""]",1,0,1
"[""10010"",""10026"",""20027"",""10017"",""10020"",""10028"",""10038"",""10018"",""10042"",""20026"",""10019"",""10045""]",1,0,1
"[""10010"",""10026"",""20027"",""10017"",""10020"",""10028"",""20046"",""10018"",""10042"",""20036"",""10019"",""20029""]",1,0,1
"[""10010"",""10026"",""20027"",""20017"",""10028"",""10012"",""20016"",""20011"",""20050"",""20026"",""20044"",""10027""]",2,1,1
"[""10010"",""10026"",""20027"",""20044"",""20012"",""10028"",""10020"",""10042"",""10021"",""20026"",""10030"",""20042""]",1,0,1
"[""10010"",""10026"",""20034"",""20024"",""10011"",""20047"",""10014"",""10028"",""20014"",""20044"",""20050"",""20026""]",2,1,1
"[""10010"",""10026"",""20040"",""20044"",""20018"",""10043"",""20048"",""10025"",""10030"",""20023"",""10015"",""10031""]",1,0,1
"[""10010"",""10026"",""20040"",""20049"",""20018"",""20019"",""20020"",""10025"",""10037"",""20023"",""10029"",""10031""]",1,0,1
"[""10010"",""10026"",""20043"",""20046"",""20024"",""10032"",""10014"",""10017"",""10024"",""20050"",""20039"",""20022""]",1,0,1
"[""10010"",""10026"",""20046"",""10028"",""20044"",""20034"",""20026"",""20014"",""20036"",""10011"",""20038"",""20024""]",1,1,0
"[""10010"",""10026"",""20046"",""20050"",""20044"",""20034"",""20026"",""10032"",""20036"",""10011"",""20038"",""20024""]",6,2,4
"[""10010"",""10026"",""20047"",""10014"",""10017"",""10028"",""20016"",""20050"",""10015"",""10030"",""10019"",""10021""]",1,1,0
"[""10010"",""10026"",""20050"",""10028"",""10025"",""10017"",""20026"",""20044"",""10037"",""20032"",""10035"",""20048""]",1,0,1
"[""10010"",""10027"",""10021"",""10030"",""20042"",""10024"",""20050"",""20016"",""10031"",""10028"",""20043"",""10017""]",1,1,0
"[""10010"",""10028"",""10017"",""20016"",""10015"",""10030"",""10021"",""10031"",""20050"",""10014"",""20011"",""20043""]",1,1,0
"[""10010"",""10028"",""10017"",""20016"",""10015"",""10030"",""10021"",""20042"",""20050"",""10014"",""20011"",""20043""]",2,2,0
"[""10010"",""10028"",""10017"",""20016"",""10015"",""10030"",""10021"",""20042"",""20050"",""20051"",""20011"",""20043""]",2,2,0
"[""10010"",""10028"",""10025"",""10024"",""10011"",""10030"",""10014"",""10023"",""10045"",""20047"",""20010"",""20034""]",4,2,2
"[""10010"",""10028"",""10025"",""10024"",""10011"",""10030"",""20019"",""20026"",""10035"",""20043"",""20047"",""20051""]",1,0,1
"[""10010"",""10028"",""10025"",""20043"",""10014"",""10021"",""10030"",""10023"",""10017"",""20026"",""10026"",""10019""]",1,0,1
"[""10010"",""10028"",""10025"",""20043"",""20030"",""10021"",""10030"",""10023"",""10017"",""20026"",""10026"",""20050""]",1,0,1
"[""10010"",""10028"",""10031"",""10045"",""20014"",""20034"",""10021"",""10023"",""10027"",""10030"",""20040"",""20046""]",1,0,1
"[""10010"",""10028"",""10031"",""20043"",""20030"",""10021"",""10030"",""10023"",""10017"",""20026"",""10026"",""20050""]",1,0,1
"[""10010"",""10028"",""10031"",""20043"",""20030"",""10021"",""10030"",""10023"",""10020"",""20026"",""10026"",""20050""]",3,2,1
"[""10010"",""10028"",""10031"",""20043"",""20030"",""10021"",""10030"",""10023"",""20042"",""20026"",""10026"",""20050""]",2,2,0
"[""10010"",""10028"",""10034"",""10016"",""10031"",""10038"",""20050"",""20048"",""20044"",""20026"",""10045"",""10030""]",1,0,1
"[""10010"",""10028"",""10034"",""10016"",""10042"",""10038"",""20050"",""20048"",""20044"",""20026"",""10045"",""10030""]",1,1,0
"[""10010"",""10028"",""10042"",""10021"",""10030"",""10015"",""20042"",""20044"",""20048"",""20014"",""20050"",""10041""]",3,1,2
"[""10010"",""10028"",""10042"",""10021"",""10030"",""10015"",""20042"",""20044"",""20048"",""20028"",""20050"",""10041""]",1,1,0
"[""10010"",""10028"",""10043"",""10024"",""10018"",""10030"",""10021"",""20026"",""10035"",""20043"",""20047"",""20051""]",1,0,1
"[""10010"",""10028"",""20014"",""20016"",""10015"",""10030"",""10021"",""10031"",""20050"",""20047"",""20011"",""20043""]",1,1,0
"[""10010"",""10028"",""20042"",""20050"",""20014"",""10023"",""10030"",""10021"",""10014"",""20046"",""20043"",""20016""]",1,0,1
"[""10010"",""10028"",""20042"",""20050"",""20026"",""10023"",""10030"",""10021"",""10014"",""20046"",""20043"",""20016""]",1,0,1
"[""10010"",""10028"",""20043"",""20044"",""20048"",""20026"",""20034"",""10021"",""10034"",""20050"",""10030"",""20010""]",1,0,1
"[""10010"",""10028"",""20043"",""20044"",""20048"",""20026"",""20034"",""10043"",""10034"",""20050"",""10030"",""20033""]",4,3,1
"[""10010"",""10028"",""20043"",""20044"",""20048"",""20026"",""20034"",""10043"",""10034"",""20050"",""10030"",""20042""]",1,1,0
"[""10010"",""10028"",""20044"",""10030"",""20026"",""20036"",""20033"",""20048"",""20031"",""10021"",""10024"",""10019""]",1,1,0
"[""10010"",""10028"",""20044"",""10030"",""20026"",""20036"",""20033"",""20048"",""20049"",""10021"",""10024"",""10019""]",3,2,1
"[""10010"",""10028"",""20044"",""10030"",""20026"",""20036"",""20033"",""20048"",""20049"",""10021"",""10024"",""20011""]",2,0,2
"[""10010"",""10028"",""20044"",""10030"",""20047"",""20036"",""20033"",""20048"",""20049"",""10021"",""10024"",""20011""]",1,1,0
"[""10010"",""10028"",""20050"",""20043"",""10014"",""10021"",""10030"",""10023"",""10017"",""20026"",""10026"",""10019""]",1,1,0
"[""10010"",""10028"",""20050"",""20043"",""10014"",""10021"",""10030"",""10023"",""10017"",""20026"",""10026"",""20014""]",6,5,1
"[""10010"",""10029"",""10031"",""10028"",""10017"",""20048"",""20050"",""10046"",""10027"",""10021"",""20026"",""10030""]",1,0,1
"[""10010"",""10029"",""10031"",""10028"",""10017"",""20048"",""20050"",""10046"",""20042"",""10021"",""20026"",""10030""]",2,1,1
"[""10010"",""10030"",""10021"",""20048"",""10028"",""10025"",""10011"",""10041"",""10032"",""10016"",""20011"",""20026""]",1,0,1
"[""10010"",""10030"",""10021"",""20048"",""10028"",""10025"",""10011"",""10041"",""10032"",""10016"",""20037"",""20026""]",2,0,2
"[""10010"",""10031"",""10015"",""10021"",""10028"",""20012"",""20014"",""10019"",""10030"",""10018"",""20026"",""10042""]",5,4,1
"[""10010"",""10031"",""10015"",""20034"",""20014"",""20026"",""10028"",""20046"",""10024"",""20050"",""20016"",""20036""]",1,1,0
"[""10010"",""10031"",""10015"",""20047"",""20014"",""20026"",""10028"",""20046"",""10024"",""20050"",""20016"",""20036""]",1,1,0
"[""10010"",""10031"",""20016"",""10021"",""10028"",""20012"",""10023"",""10017"",""10030"",""20034"",""20050"",""20010""]",1,0,1
"[""10010"",""10031"",""20016"",""10021"",""10028"",""20012"",""20014"",""10019"",""10030"",""20034"",""20050"",""10042""]",1,1,0
"[""10010"",""10031"",""20042"",""10021"",""10028"",""20012"",""20014"",""10019"",""10030"",""20034"",""20050"",""10042""]",1,0,1
"[""10010"",""10031"",""20050"",""20012"",""10013"",""20046"",""20016"",""20026"",""10026"",""10027"",""10017"",""10032""]",1,1,0
"[""10010"",""10032"",""10012"",""10020"",""10031"",""10028"",""10046"",""10030"",""10015"",""10018"",""20050"",""20016""]",1,0,1
"[""10010"",""10032"",""10015"",""10021"",""10028"",""20012"",""10014"",""10019"",""10030"",""10018"",""20026"",""10042""]",2,2,0
"[""10010"",""10032"",""10015"",""10021"",""10028"",""20012"",""10022"",""10019"",""10030"",""10018"",""20026"",""10042""]",2,2,0
"[""10010"",""10032"",""10015"",""10022"",""10028"",""20012"",""10043"",""10019"",""10030"",""10018"",""20026"",""10042""]",1,0,1
"[""10010"",""10032"",""10017"",""10025"",""10034"",""20016"",""20043"",""10040"",""10042"",""10043"",""10030"",""10021""]",1,0,1
"[""10010"",""10032"",""10026"",""20024"",""10014"",""10028"",""20026"",""20034"",""20014"",""20022"",""10035"",""20038""]",6,6,0
"[""10010"",""10032"",""10030"",""10025"",""20011"",""20016"",""20043"",""20051"",""20049"",""10012"",""10031"",""10028""]",1,0,1
"[""10010"",""10032"",""10036"",""10026"",""20043"",""10039"",""10028"",""20026"",""10038"",""10040"",""20050"",""10022""]",1,0,1
"[""10010"",""10032"",""10036"",""10026"",""20047"",""20051"",""10028"",""20016"",""20043"",""10040"",""20050"",""10027""]",1,0,1
"[""10010"",""10032"",""10036"",""10037"",""10039"",""10041"",""10016"",""20016"",""20050"",""10038"",""10040"",""10035""]",2,2,0
"[""10010"",""10032"",""20046"",""20022"",""10014"",""10016"",""10025"",""10028"",""20050"",""10026"",""10021"",""10024""]",3,1,2
"[""10010"",""10032"",""20046"",""20022"",""10014"",""10016"",""10025"",""10028"",""20050"",""10026"",""20023"",""10024""]",1,1,0
"[""10010"",""10034"",""10028"",""10043"",""10024"",""10018"",""10030"",""10021"",""20026"",""20023"",""20043"",""20047""]",1,0,1
"[""10010"",""10035"",""10017"",""10028"",""10029"",""10024"",""10040"",""10021"",""20026"",""10030"",""10037"",""10039""]",3,1,2
"[""10010"",""10035"",""10017"",""10028"",""10029"",""10024"",""10040"",""10021"",""20026"",""10030"",""10037"",""20044""]",3,2,1
"[""10010"",""10035"",""10017"",""10028"",""20016"",""20043"",""20044"",""10031"",""10021"",""20026"",""10030"",""20022""]",1,0,1
"[""10010"",""10035"",""10017"",""10028"",""20036"",""10036"",""10013"",""20014"",""20026"",""10030"",""10037"",""10039""]",2,1,1
"[""10010"",""10035"",""10022"",""20048"",""10021"",""10030"",""10028"",""20046"",""10025"",""20010"",""20050"",""10019""]",1,0,1
"[""10010"",""10035"",""10037"",""10014"",""10041"",""10026"",""20016"",""20048"",""20044"",""20043"",""10028"",""20050""]",3,2,1
"[""10010"",""10035"",""10037"",""10026"",""10032"",""10036"",""10039"",""20022"",""10041"",""20047"",""10012"",""10028""]",2,1,1
"[""10010"",""10035"",""10037"",""10036"",""10041"",""10021"",""10030"",""10025"",""20044"",""20048"",""10038"",""20050""]",1,1,0
"[""10010"",""10035"",""20034"",""10028"",""20036"",""10036"",""10013"",""20014"",""20026"",""10030"",""10037"",""10039""]",7,5,2
"[""10010"",""10036"",""10025"",""10028"",""10040"",""20043"",""10021"",""10018"",""10030"",""20026"",""10043"",""10042""]",1,0,1
"[""10010"",""10037"",""10032"",""10031"",""10014"",""20049"",""20011"",""10030"",""20026"",""20050"",""20048"",""20016""]",1,0,1
"[""10010"",""10037"",""20017"",""10028"",""10043"",""20011"",""20041"",""20043"",""20013"",""20048"",""20050"",""10042""]",1,0,1
"[""10010"",""10037"",""20017"",""10028"",""20032"",""20011"",""20041"",""20043"",""20013"",""20048"",""20050"",""10021""]",1,0,1
"[""10010"",""10041"",""10028"",""10025"",""20026"",""10015"",""20043"",""20016"",""10021"",""10030"",""10019"",""10011""]",4,2,2
"[""10010"",""10041"",""10028"",""20016"",""20050"",""20026"",""20033"",""10015"",""10030"",""10021"",""20031"",""20032""]",1,0,1
"[""10010"",""10041"",""20018"",""20049"",""20042"",""20043"",""10011"",""10012"",""10028"",""20050"",""10015"",""20011""]",1,1,0
"[""10010"",""10041"",""20020"",""10016"",""10012"",""20019"",""20018"",""10032"",""10026"",""10037"",""20049"",""10038""]",2,1,1
"[""10010"",""10045"",""20028"",""10028"",""20026"",""10034"",""20043"",""20016"",""10018"",""10023"",""10030"",""20048""]",3,2,1
"[""10010"",""10045"",""20030"",""10014"",""10028"",""10016"",""10030"",""20011"",""20035"",""20044"",""20048"",""20050""]",2,0,2
"[""10010"",""10045"",""20036"",""10013"",""10035"",""10037"",""10036"",""10025"",""10017"",""20047"",""10028"",""10015""]",2,2,0
"[""10010"",""20010"",""10015"",""20034"",""20014"",""20026"",""10028"",""20046"",""10024"",""20050"",""20016"",""20036""]",4,3,1
"[""10010"",""20010"",""10017"",""10028"",""20016"",""20043"",""20050"",""10031"",""10021"",""20026"",""10030"",""10019""]",2,1,1
"[""10010"",""20010"",""10028"",""10022"",""20012"",""10030"",""20043"",""20044"",""20026"",""20034"",""10021"",""10023""]",1,0,1
"[""10010"",""20010"",""10035"",""10037"",""10018"",""10039"",""10021"",""10017"",""10028"",""10030"",""20026"",""10024""]",15,8,7
"[""10010"",""20010"",""10035"",""10037"",""10018"",""20034"",""10021"",""10017"",""10028"",""10030"",""20026"",""10024""]",6,2,4
"[""10010"",""20010"",""10035"",""20046"",""10018"",""20034"",""10021"",""10031"",""10028"",""10030"",""20026"",""10024""]",14,8,6
"[""10010"",""20010"",""10043"",""10020"",""10018"",""20049"",""10021"",""10017"",""10028"",""10030"",""20050"",""10024""]",1,0,1
"[""10010"",""20010"",""10043"",""20019"",""20040"",""20049"",""10021"",""10017"",""10028"",""10030"",""20050"",""10024""]",1,0,1
"[""10010"",""20010"",""20015"",""10028"",""20012"",""20042"",""10023"",""10030"",""10021"",""20043"",""10035"",""10037""]",1,0,1
"[""10010"",""20010"",""20015"",""10028"",""20046"",""20042"",""10023"",""10030"",""10021"",""20014"",""10035"",""10037""]",2,1,1
"[""10010"",""20010"",""20015"",""10028"",""20046"",""20042"",""20051"",""10030"",""10021"",""20014"",""10035"",""10037""]",1,0,1
"[""10010"",""20010"",""20044"",""10018"",""10021"",""10030"",""10028"",""10017"",""10013"",""10031"",""10035"",""20048""]",2,1,1
"[""10010"",""20011"",""10011"",""10012"",""20041"",""20024"",""10029"",""20048"",""20044"",""10034"",""20049"",""20050""]",1,0,1
"[""10010"",""20011"",""10026"",""10012"",""10027"",""20024"",""10029"",""20048"",""20044"",""10034"",""10014"",""20050""]",1,0,1
"[""10010"",""20011"",""20047"",""20038"",""20014"",""10014"",""20022"",""20031"",""20024"",""20046"",""10026"",""20050""]",5,4,1
"[""10010"",""20014"",""20034"",""10028"",""20026"",""10030"",""20016"",""20010"",""10021"",""10019"",""20044"",""10017""]",1,1,0
"[""10010"",""20014"",""20034"",""10028"",""20026"",""10030"",""20050"",""20010"",""10021"",""10019"",""10014"",""10016""]",1,0,1
"[""10010"",""20014"",""20034"",""10028"",""20026"",""10030"",""20050"",""20010"",""10021"",""10019"",""10014"",""10018""]",2,1,1
"[""10010"",""20014"",""20034"",""10028"",""20026"",""10030"",""20050"",""20010"",""10021"",""10019"",""10014"",""20043""]",1,0,1
"[""10010"",""20014"",""20034"",""10028"",""20026"",""10030"",""20050"",""20010"",""10021"",""10019"",""10014"",""20051""]",1,0,1
"[""10010"",""20014"",""20034"",""10028"",""20026"",""10030"",""20050"",""20010"",""10021"",""10019"",""20044"",""10017""]",2,1,1
"[""10010"",""20016"",""20010"",""20030"",""10012"",""20049"",""10028"",""20043"",""20050"",""10044"",""10023"",""10030""]",1,0,1
"[""10010"",""20016"",""20043"",""20036"",""20025"",""10014"",""20049"",""20050"",""10026"",""10034"",""10046"",""10024""]",2,1,1
"[""10010"",""20018"",""10028"",""20036"",""20048"",""20044"",""10021"",""20026"",""20034"",""20016"",""20021"",""10027""]",3,3,0
"[""10010"",""20018"",""10028"",""20036"",""20048"",""20044"",""20050"",""20026"",""20034"",""10019"",""20021"",""10027""]",1,0,1
"[""10010"",""20018"",""10028"",""20036"",""20048"",""20044"",""20050"",""20026"",""20034"",""10019"",""20039"",""10027""]",1,0,1
"[""10010"",""20018"",""10028"",""20036"",""20048"",""20044"",""20050"",""20026"",""20034"",""20016"",""20021"",""10027""]",5,4,1
"[""10010"",""20018"",""20011"",""20038"",""20019"",""20042"",""10030"",""20044"",""20043"",""20050"",""20048"",""20026""]",1,0,1
"[""10010"",""20024"",""10028"",""20010"",""10014"",""20039"",""20048"",""10016"",""20034"",""20026"",""20044"",""10026""]",5,5,0
"[""10010"",""20024"",""10028"",""20010"",""10014"",""20039"",""20048"",""20023"",""20034"",""20026"",""20044"",""10026""]",3,1,2
"[""10010"",""20024"",""10028"",""20026"",""20048"",""20050"",""20034"",""20036"",""20014"",""10014"",""20016"",""10026""]",9,3,6
"[""10010"",""20025"",""10028"",""20044"",""10030"",""10021"",""20026"",""10043"",""10042"",""10040"",""10018"",""10017""]",1,0,1
"[""10010"",""20026"",""10012"",""20015"",""10028"",""10018"",""20048"",""20044"",""10025"",""20050"",""10030"",""10021""]",1,0,1
"[""10010"",""20026"",""10028"",""20048"",""20050"",""10043"",""10042"",""20044"",""10027"",""10030"",""10021"",""10019""]",7,4,3
