,cards,battlenum,winnum,losenum,newCards,newCardsName
10,"[""10010"",""10013"",""10032"",""20010"",""20018"",""10012"",""10014"",""10028"",""20016"",""20039"",""10018"",""10045""]",2,1,1,"[10010, 10012, 10013, 10014, 10018, 10028, 10032, 10045, 20010, 20016, 20018, 20039]","['电吉他 和鸣', '摩托 赤狸', '雨伞 守心', '茶壶 灵愈', '萨克斯 莉莉', '羽毛球 拉丽', '自行车 闪电', '盔甲 怀抱', '有丝分裂', '引力炸弹', '引导', '战术核武']"
11,"[""10010"",""10013"",""20012"",""20044"",""10023"",""10028"",""10014"",""20048"",""10021"",""20026"",""10030"",""20043""]",1,0,1,"[10010, 10013, 10014, 10021, 10023, 10028, 10030, 20012, 20026, 20043, 20044, 20048]","['电吉他 和鸣', '雨伞 守心', '茶壶 灵愈', '铅笔 追忆', '牙膏 露洁', '羽毛球 拉丽', '鼠标 点点', '弹射锯片', '风暴针刺', '爆裂药瓶', '胡乱抓挠', '超电磁炮']"
12,"[""10010"",""10013"",""20012"",""20044"",""10023"",""10028"",""20034"",""20048"",""10021"",""20026"",""10030"",""20043""]",2,0,2,"[10010, 10013, 10021, 10023, 10028, 10030, 20012, 20026, 20034, 20043, 20044, 20048]","['电吉他 和鸣', '雨伞 守心', '铅笔 追忆', '牙膏 露洁', '羽毛球 拉丽', '鼠标 点点', '弹射锯片', '风暴针刺', '补水计划', '爆裂药瓶', '胡乱抓挠', '超电磁炮']"
13,"[""10010"",""10013"",""20021"",""20010"",""20018"",""10012"",""20034"",""10028"",""20026"",""20036"",""10018"",""10045""]",6,5,1,"[10010, 10012, 10013, 10018, 10028, 10045, 20010, 20018, 20021, 20026, 20034, 20036]","['电吉他 和鸣', '摩托 赤狸', '雨伞 守心', '萨克斯 莉莉', '羽毛球 拉丽', '盔甲 怀抱', '有丝分裂', '引导', '精准引导', '风暴针刺', '补水计划', '巨雷枪']"
14,"[""10010"",""10013"",""20021"",""20016"",""20018"",""10012"",""20034"",""10028"",""20026"",""20036"",""20027"",""10045""]",9,4,5,"[10010, 10012, 10013, 10028, 10045, 20016, 20018, 20021, 20026, 20027, 20034, 20036]","['电吉他 和鸣', '摩托 赤狸', '雨伞 守心', '羽毛球 拉丽', '盔甲 怀抱', '引力炸弹', '引导', '精准引导', '风暴针刺', '嗜血杀戮', '补水计划', '巨雷枪']"
15,"[""10010"",""10013"",""20036"",""10014"",""10023"",""10028"",""20034"",""20046"",""20050"",""20026"",""10030"",""20043""]",5,3,2,"[10010, 10013, 10014, 10023, 10028, 10030, 20026, 20034, 20036, 20043, 20046, 20050]","['电吉他 和鸣', '雨伞 守心', '茶壶 灵愈', '牙膏 露洁', '羽毛球 拉丽', '鼠标 点点', '风暴针刺', '补水计划', '巨雷枪', '爆裂药瓶', '重新出发', '海浪冲击']"
16,"[""10010"",""10013"",""20036"",""20044"",""10023"",""10028"",""20034"",""20012"",""20010"",""20026"",""10030"",""20043""]",1,1,0,"[10010, 10013, 10023, 10028, 10030, 20010, 20012, 20026, 20034, 20036, 20043, 20044]","['电吉他 和鸣', '雨伞 守心', '牙膏 露洁', '羽毛球 拉丽', '鼠标 点点', '有丝分裂', '弹射锯片', '风暴针刺', '补水计划', '巨雷枪', '爆裂药瓶', '胡乱抓挠']"
17,"[""10010"",""10013"",""20036"",""20044"",""10023"",""10028"",""20034"",""20012"",""20050"",""20026"",""10030"",""20043""]",5,3,2,"[10010, 10013, 10023, 10028, 10030, 20012, 20026, 20034, 20036, 20043, 20044, 20050]","['电吉他 和鸣', '雨伞 守心', '牙膏 露洁', '羽毛球 拉丽', '鼠标 点点', '弹射锯片', '风暴针刺', '补水计划', '巨雷枪', '爆裂药瓶', '胡乱抓挠', '海浪冲击']"
18,"[""10010"",""10013"",""20036"",""20044"",""10023"",""10028"",""20034"",""20048"",""10021"",""20026"",""10030"",""20043""]",7,4,3,"[10010, 10013, 10021, 10023, 10028, 10030, 20026, 20034, 20036, 20043, 20044, 20048]","['电吉他 和鸣', '雨伞 守心', '铅笔 追忆', '牙膏 露洁', '羽毛球 拉丽', '鼠标 点点', '风暴针刺', '补水计划', '巨雷枪', '爆裂药瓶', '胡乱抓挠', '超电磁炮']"
19,"[""10010"",""10013"",""20043"",""20036"",""20025"",""10014"",""20049"",""20050"",""20029"",""10034"",""10046"",""10024""]",1,0,1,"[10010, 10013, 10014, 10024, 10034, 10046, 20025, 20029, 20036, 20043, 20049, 20050]","['电吉他 和鸣', '雨伞 守心', '茶壶 灵愈', '书 幻梦', '剪刀 刺痛', '啤酒瓶 破碎', '修建工事', '人工降雨', '巨雷枪', '爆裂药瓶', '尖刺墙', '海浪冲击']"
20,"[""10010"",""10013"",""20046"",""20010"",""20024"",""10045"",""10021"",""10027"",""20034"",""20014"",""10028"",""10025""]",3,3,0,"[10010, 10013, 10021, 10025, 10027, 10028, 10045, 20010, 20014, 20024, 20034, 20046]","['电吉他 和鸣', '雨伞 守心', '铅笔 追忆', '电池 伏特', '牛奶 银河', '羽毛球 拉丽', '盔甲 怀抱', '有丝分裂', '见证我！', '裂地斩', '补水计划', '重新出发']"
21,"[""10010"",""10014"",""10013"",""10026"",""20014"",""20036"",""10028"",""20050"",""20046"",""20038"",""20034"",""20027""]",1,1,0,"[10010, 10013, 10014, 10026, 10028, 20014, 20027, 20034, 20036, 20038, 20046, 20050]","['电吉他 和鸣', '雨伞 守心', '茶壶 灵愈', '爆米花 米莉', '羽毛球 拉丽', '见证我！', '嗜血杀戮', '补水计划', '巨雷枪', '飞砖', '重新出发', '海浪冲击']"
22,"[""10010"",""10014"",""10017"",""10025"",""10028"",""20037"",""20044"",""10024"",""10019"",""10021"",""10030"",""10032""]",2,0,2,"[10010, 10014, 10017, 10019, 10021, 10024, 10025, 10028, 10030, 10032, 20037, 20044]","['电吉他 和鸣', '茶壶 灵愈', '电池 欧姆', '电池 焦耳', '铅笔 追忆', '书 幻梦', '电池 伏特', '羽毛球 拉丽', '鼠标 点点', '自行车 闪电', '投石支援', '胡乱抓挠']"
23,"[""10010"",""10014"",""10017"",""10028"",""20016"",""20043"",""20050"",""10031"",""10021"",""20026"",""10030"",""10019""]",6,3,3,"[10010, 10014, 10017, 10019, 10021, 10028, 10030, 10031, 20016, 20026, 20043, 20050]","['电吉他 和鸣', '茶壶 灵愈', '电池 欧姆', '电池 焦耳', '铅笔 追忆', '羽毛球 拉丽', '鼠标 点点', '注射器 针妮', '引力炸弹', '风暴针刺', '爆裂药瓶', '海浪冲击']"
24,"[""10010"",""10014"",""10021"",""10030"",""10013"",""10024"",""20050"",""20016"",""10031"",""10028"",""20043"",""10017""]",3,2,1,"[10010, 10013, 10014, 10017, 10021, 10024, 10028, 10030, 10031, 20016, 20043, 20050]","['电吉他 和鸣', '雨伞 守心', '茶壶 灵愈', '电池 欧姆', '铅笔 追忆', '书 幻梦', '羽毛球 拉丽', '鼠标 点点', '注射器 针妮', '引力炸弹', '爆裂药瓶', '海浪冲击']"
25,"[""10010"",""10014"",""10021"",""10030"",""10013"",""20014"",""20050"",""20016"",""10031"",""10028"",""20043"",""10017""]",1,1,0,"[10010, 10013, 10014, 10017, 10021, 10028, 10030, 10031, 20014, 20016, 20043, 20050]","['电吉他 和鸣', '雨伞 守心', '茶壶 灵愈', '电池 欧姆', '铅笔 追忆', '羽毛球 拉丽', '鼠标 点点', '注射器 针妮', '见证我！', '引力炸弹', '爆裂药瓶', '海浪冲击']"
26,"[""10010"",""10014"",""10023"",""10030"",""10013"",""20014"",""20050"",""20016"",""10031"",""10028"",""20043"",""10017""]",2,0,2,"[10010, 10013, 10014, 10017, 10023, 10028, 10030, 10031, 20014, 20016, 20043, 20050]","['电吉他 和鸣', '雨伞 守心', '茶壶 灵愈', '电池 欧姆', '牙膏 露洁', '羽毛球 拉丽', '鼠标 点点', '注射器 针妮', '见证我！', '引力炸弹', '爆裂药瓶', '海浪冲击']"
27,"[""10010"",""10014"",""10023"",""10030"",""10013"",""20014"",""20050"",""20034"",""10031"",""10028"",""20043"",""10017""]",2,0,2,"[10010, 10013, 10014, 10017, 10023, 10028, 10030, 10031, 20014, 20034, 20043, 20050]","['电吉他 和鸣', '雨伞 守心', '茶壶 灵愈', '电池 欧姆', '牙膏 露洁', '羽毛球 拉丽', '鼠标 点点', '注射器 针妮', '见证我！', '补水计划', '爆裂药瓶', '海浪冲击']"
28,"[""10010"",""10014"",""10028"",""20044"",""10018"",""10043"",""20026"",""10019"",""10021"",""10030"",""20036"",""10020""]",2,1,1,"[10010, 10014, 10018, 10019, 10020, 10021, 10028, 10030, 10043, 20026, 20036, 20044]","['电吉他 和鸣', '茶壶 灵愈', '萨克斯 莉莉', '电池 焦耳', '时钟 晨曦', '铅笔 追忆', '羽毛球 拉丽', '鼠标 点点', '刀 百炼', '风暴针刺', '巨雷枪', '胡乱抓挠']"
29,"[""10010"",""10014"",""10028"",""20044"",""10018"",""20026"",""10019"",""10021"",""10030"",""20036"",""10020"",""20049""]",2,1,1,"[10010, 10014, 10018, 10019, 10020, 10021, 10028, 10030, 20026, 20036, 20044, 20049]","['电吉他 和鸣', '茶壶 灵愈', '萨克斯 莉莉', '电池 焦耳', '时钟 晨曦', '铅笔 追忆', '羽毛球 拉丽', '鼠标 点点', '风暴针刺', '巨雷枪', '胡乱抓挠', '尖刺墙']"
30,"[""10010"",""10014"",""10028"",""20044"",""10018"",""20026"",""10019"",""10021"",""10030"",""20036"",""20043"",""10024""]",4,2,2,"[10010, 10014, 10018, 10019, 10021, 10024, 10028, 10030, 20026, 20036, 20043, 20044]","['电吉他 和鸣', '茶壶 灵愈', '萨克斯 莉莉', '电池 焦耳', '铅笔 追忆', '书 幻梦', '羽毛球 拉丽', '鼠标 点点', '风暴针刺', '巨雷枪', '爆裂药瓶', '胡乱抓挠']"
31,"[""10010"",""10014"",""10028"",""20044"",""10018"",""20026"",""10019"",""10021"",""10030"",""20036"",""20043"",""20049""]",1,1,0,"[10010, 10014, 10018, 10019, 10021, 10028, 10030, 20026, 20036, 20043, 20044, 20049]","['电吉他 和鸣', '茶壶 灵愈', '萨克斯 莉莉', '电池 焦耳', '铅笔 追忆', '羽毛球 拉丽', '鼠标 点点', '风暴针刺', '巨雷枪', '爆裂药瓶', '胡乱抓挠', '尖刺墙']"
32,"[""10010"",""10014"",""20010"",""20024"",""10011"",""20011"",""10028"",""20016"",""20050"",""10015"",""20014"",""10026""]",2,1,1,"[10010, 10011, 10014, 10015, 10026, 10028, 20010, 20011, 20014, 20016, 20024, 20050]","['电吉他 和鸣', '纸巾 缠缠', '茶壶 灵愈', '留声机 回音', '爆米花 米莉', '羽毛球 拉丽', '有丝分裂', '魅惑', '见证我！', '引力炸弹', '裂地斩', '海浪冲击']"
33,"[""10010"",""10014"",""20011"",""20016"",""20024"",""10019"",""10021"",""10027"",""20034"",""20014"",""10028"",""10025""]",1,0,1,"[10010, 10014, 10019, 10021, 10025, 10027, 10028, 20011, 20014, 20016, 20024, 20034]","['电吉他 和鸣', '茶壶 灵愈', '电池 焦耳', '铅笔 追忆', '电池 伏特', '牛奶 银河', '羽毛球 拉丽', '魅惑', '见证我！', '引力炸弹', '裂地斩', '补水计划']"
34,"[""10010"",""10014"",""20014"",""10028"",""20026"",""10034"",""20043"",""20016"",""10018"",""10023"",""10030"",""20048""]",6,1,5,"[10010, 10014, 10018, 10023, 10028, 10030, 10034, 20014, 20016, 20026, 20043, 20048]","['电吉他 和鸣', '茶壶 灵愈', '萨克斯 莉莉', '牙膏 露洁', '羽毛球 拉丽', '鼠标 点点', '剪刀 刺痛', '见证我！', '引力炸弹', '风暴针刺', '爆裂药瓶', '超电磁炮']"
35,"[""10010"",""10014"",""20043"",""20050"",""20034"",""20016"",""10023"",""10028"",""10034"",""20044"",""10030"",""10021""]",1,0,1,"[10010, 10014, 10021, 10023, 10028, 10030, 10034, 20016, 20034, 20043, 20044, 20050]","['电吉他 和鸣', '茶壶 灵愈', '铅笔 追忆', '牙膏 露洁', '羽毛球 拉丽', '鼠标 点点', '剪刀 刺痛', '引力炸弹', '补水计划', '爆裂药瓶', '胡乱抓挠', '海浪冲击']"
36,"[""10010"",""10014"",""20046"",""10030"",""10013"",""20014"",""20050"",""20016"",""10031"",""10028"",""20043"",""10017""]",1,1,0,"[10010, 10013, 10014, 10017, 10028, 10030, 10031, 20014, 20016, 20043, 20046, 20050]","['电吉他 和鸣', '雨伞 守心', '茶壶 灵愈', '电池 欧姆', '羽毛球 拉丽', '鼠标 点点', '注射器 针妮', '见证我！', '引力炸弹', '爆裂药瓶', '重新出发', '海浪冲击']"
37,"[""10010"",""10014"",""20046"",""20010"",""20024"",""10045"",""10021"",""10027"",""20034"",""20014"",""10028"",""10025""]",2,1,1,"[10010, 10014, 10021, 10025, 10027, 10028, 10045, 20010, 20014, 20024, 20034, 20046]","['电吉他 和鸣', '茶壶 灵愈', '铅笔 追忆', '电池 伏特', '牛奶 银河', '羽毛球 拉丽', '盔甲 怀抱', '有丝分裂', '见证我！', '裂地斩', '补水计划', '重新出发']"
38,"[""10010"",""10014"",""20050"",""20048"",""20043"",""20041"",""10046"",""10019"",""10021"",""10030"",""20026"",""10028""]",1,1,0,"[10010, 10014, 10019, 10021, 10028, 10030, 10046, 20026, 20041, 20043, 20048, 20050]","['电吉他 和鸣', '茶壶 灵愈', '电池 焦耳', '铅笔 追忆', '羽毛球 拉丽', '鼠标 点点', '啤酒瓶 破碎', '风暴针刺', '巨兽陷阱', '爆裂药瓶', '超电磁炮', '海浪冲击']"
39,"[""10010"",""10015"",""20047"",""20038"",""20014"",""10014"",""20022"",""20031"",""20024"",""20046"",""10026"",""20050""]",2,2,0,"[10010, 10014, 10015, 10026, 20014, 20022, 20024, 20031, 20038, 20046, 20047, 20050]","['电吉他 和鸣', '茶壶 灵愈', '留声机 回音', '爆米花 米莉', '见证我！', '蓄力', '裂地斩', '滋水', '飞砖', '重新出发', '临摹', '海浪冲击']"
40,"[""10010"",""10017"",""10036"",""10037"",""10039"",""10041"",""10028"",""20016"",""20050"",""10038"",""10040"",""10035""]",3,1,2,"[10010, 10017, 10028, 10035, 10036, 10037, 10038, 10039, 10040, 10041, 20016, 20050]","['电吉他 和鸣', '电池 欧姆', '羽毛球 拉丽', '纯净水 浅浅', '纯净水 满满', '红汽水 浅浅', '红汽水 满满', '绿汽水 浅浅', '绿汽水 满满', '肥皂 滑滑', '引力炸弹', '海浪冲击']"
41,"[""10010"",""10017"",""20047"",""20038"",""20014"",""10014"",""20022"",""20031"",""20024"",""20046"",""10026"",""20050""]",3,2,1,"[10010, 10014, 10017, 10026, 20014, 20022, 20024, 20031, 20038, 20046, 20047, 20050]","['电吉他 和鸣', '茶壶 灵愈', '电池 欧姆', '爆米花 米莉', '见证我！', '蓄力', '裂地斩', '滋水', '飞砖', '重新出发', '临摹', '海浪冲击']"
42,"[""10010"",""10018"",""10028"",""20017"",""10017"",""20026"",""10019"",""10021"",""10030"",""20036"",""20043"",""10024""]",5,4,1,"[10010, 10017, 10018, 10019, 10021, 10024, 10028, 10030, 20017, 20026, 20036, 20043]","['电吉他 和鸣', '电池 欧姆', '萨克斯 莉莉', '电池 焦耳', '铅笔 追忆', '书 幻梦', '羽毛球 拉丽', '鼠标 点点', '精准爆破', '风暴针刺', '巨雷枪', '爆裂药瓶']"
43,"[""10010"",""10018"",""10028"",""20034"",""10017"",""20026"",""10019"",""10021"",""10030"",""20036"",""20050"",""10024""]",5,2,3,"[10010, 10017, 10018, 10019, 10021, 10024, 10028, 10030, 20026, 20034, 20036, 20050]","['电吉他 和鸣', '电池 欧姆', '萨克斯 莉莉', '电池 焦耳', '铅笔 追忆', '书 幻梦', '羽毛球 拉丽', '鼠标 点点', '风暴针刺', '补水计划', '巨雷枪', '海浪冲击']"
44,"[""10010"",""10018"",""10028"",""20044"",""10017"",""20026"",""10019"",""10021"",""10030"",""20036"",""20043"",""10024""]",1,0,1,"[10010, 10017, 10018, 10019, 10021, 10024, 10028, 10030, 20026, 20036, 20043, 20044]","['电吉他 和鸣', '电池 欧姆', '萨克斯 莉莉', '电池 焦耳', '铅笔 追忆', '书 幻梦', '羽毛球 拉丽', '鼠标 点点', '风暴针刺', '巨雷枪', '爆裂药瓶', '胡乱抓挠']"
45,"[""10010"",""10019"",""10018"",""20016"",""20050"",""10034"",""10028"",""10035"",""10037"",""20043"",""10030"",""20046""]",1,1,0,"[10010, 10018, 10019, 10028, 10030, 10034, 10035, 10037, 20016, 20043, 20046, 20050]","['电吉他 和鸣', '萨克斯 莉莉', '电池 焦耳', '羽毛球 拉丽', '鼠标 点点', '剪刀 刺痛', '纯净水 浅浅', '红汽水 浅浅', '引力炸弹', '爆裂药瓶', '重新出发', '海浪冲击']"
46,"[""10010"",""10019"",""10021"",""20048"",""20050"",""10028"",""10030"",""10042"",""10018"",""20026"",""20047"",""20016""]",2,1,1,"[10010, 10018, 10019, 10021, 10028, 10030, 10042, 20016, 20026, 20047, 20048, 20050]","['电吉他 和鸣', '萨克斯 莉莉', '电池 焦耳', '铅笔 追忆', '羽毛球 拉丽', '鼠标 点点', '刀 藏锋', '引力炸弹', '风暴针刺', '临摹', '超电磁炮', '海浪冲击']"
47,"[""10010"",""10019"",""10021"",""20048"",""20050"",""10028"",""10030"",""10042"",""10043"",""20026"",""20043"",""20016""]",8,3,5,"[10010, 10019, 10021, 10028, 10030, 10042, 10043, 20016, 20026, 20043, 20048, 20050]","['电吉他 和鸣', '电池 焦耳', '铅笔 追忆', '羽毛球 拉丽', '鼠标 点点', '刀 藏锋', '刀 百炼', '引力炸弹', '风暴针刺', '爆裂药瓶', '超电磁炮', '海浪冲击']"
48,"[""10010"",""10019"",""10021"",""20048"",""20050"",""10028"",""10030"",""10042"",""10043"",""20026"",""20043"",""20042""]",1,1,0,"[10010, 10019, 10021, 10028, 10030, 10042, 10043, 20026, 20042, 20043, 20048, 20050]","['电吉他 和鸣', '电池 焦耳', '铅笔 追忆', '羽毛球 拉丽', '鼠标 点点', '刀 藏锋', '刀 百炼', '风暴针刺', '协力攻击', '爆裂药瓶', '超电磁炮', '海浪冲击']"
49,"[""10010"",""10019"",""20047"",""10014"",""10016"",""20050"",""10028"",""10030"",""20034"",""10027"",""10026"",""20026""]",1,1,0,"[10010, 10014, 10016, 10019, 10026, 10027, 10028, 10030, 20026, 20034, 20047, 20050]","['电吉他 和鸣', '茶壶 灵愈', '电扇 彩虹', '电池 焦耳', '爆米花 米莉', '牛奶 银河', '羽毛球 拉丽', '鼠标 点点', '风暴针刺', '补水计划', '临摹', '海浪冲击']"
50,"[""10010"",""10019"",""20047"",""10014"",""10016"",""20050"",""10028"",""10030"",""20034"",""10027"",""10026"",""20036""]",1,0,1,"[10010, 10014, 10016, 10019, 10026, 10027, 10028, 10030, 20034, 20036, 20047, 20050]","['电吉他 和鸣', '茶壶 灵愈', '电扇 彩虹', '电池 焦耳', '爆米花 米莉', '牛奶 银河', '羽毛球 拉丽', '鼠标 点点', '补水计划', '巨雷枪', '临摹', '海浪冲击']"
51,"[""10010"",""10019"",""20050"",""20048"",""20044"",""10015"",""10028"",""10017"",""10014"",""20016"",""10041"",""10026""]",3,2,1,"[10010, 10014, 10015, 10017, 10019, 10026, 10028, 10041, 20016, 20044, 20048, 20050]","['电吉他 和鸣', '茶壶 灵愈', '留声机 回音', '电池 欧姆', '电池 焦耳', '爆米花 米莉', '羽毛球 拉丽', '肥皂 滑滑', '引力炸弹', '胡乱抓挠', '超电磁炮', '海浪冲击']"
52,"[""10010"",""10020"",""10026"",""10028"",""10014"",""20022"",""20050"",""20024"",""10027"",""10016"",""20026"",""20036""]",3,2,1,"[10010, 10014, 10016, 10020, 10026, 10027, 10028, 20022, 20024, 20026, 20036, 20050]","['电吉他 和鸣', '茶壶 灵愈', '电扇 彩虹', '时钟 晨曦', '爆米花 米莉', '牛奶 银河', '羽毛球 拉丽', '蓄力', '裂地斩', '风暴针刺', '巨雷枪', '海浪冲击']"
53,"[""10010"",""10020"",""10026"",""10028"",""10014"",""20022"",""20050"",""20024"",""20014"",""10016"",""20034"",""20036""]",3,1,2,"[10010, 10014, 10016, 10020, 10026, 10028, 20014, 20022, 20024, 20034, 20036, 20050]","['电吉他 和鸣', '茶壶 灵愈', '电扇 彩虹', '时钟 晨曦', '爆米花 米莉', '羽毛球 拉丽', '见证我！', '蓄力', '裂地斩', '补水计划', '巨雷枪', '海浪冲击']"
54,"[""10010"",""10020"",""10026"",""10028"",""10017"",""20048"",""20050"",""10046"",""10027"",""10021"",""20026"",""10030""]",1,0,1,"[10010, 10017, 10020, 10021, 10026, 10027, 10028, 10030, 10046, 20026, 20048, 20050]","['电吉他 和鸣', '电池 欧姆', '时钟 晨曦', '铅笔 追忆', '爆米花 米莉', '牛奶 银河', '羽毛球 拉丽', '鼠标 点点', '啤酒瓶 破碎', '风暴针刺', '超电磁炮', '海浪冲击']"
55,"[""10010"",""10021"",""10030"",""10042"",""20043"",""10043"",""20016"",""20026"",""20044"",""20048"",""10019"",""20050""]",2,1,1,"[10010, 10019, 10021, 10030, 10042, 10043, 20016, 20026, 20043, 20044, 20048, 20050]","['电吉他 和鸣', '电池 焦耳', '铅笔 追忆', '鼠标 点点', '刀 藏锋', '刀 百炼', '引力炸弹', '风暴针刺', '爆裂药瓶', '胡乱抓挠', '超电磁炮', '海浪冲击']"
56,"[""10010"",""10021"",""10035"",""10037"",""20018"",""20024"",""10028"",""20016"",""20044"",""20050"",""10018"",""10030""]",2,0,2,"[10010, 10018, 10021, 10028, 10030, 10035, 10037, 20016, 20018, 20024, 20044, 20050]","['电吉他 和鸣', '萨克斯 莉莉', '铅笔 追忆', '羽毛球 拉丽', '鼠标 点点', '纯净水 浅浅', '红汽水 浅浅', '引力炸弹', '引导', '裂地斩', '胡乱抓挠', '海浪冲击']"
57,"[""10010"",""10022"",""20043"",""10013"",""20045"",""10023"",""10042"",""10017"",""10014"",""10031"",""20042"",""10025""]",1,0,1,"[10010, 10013, 10014, 10017, 10022, 10023, 10025, 10031, 10042, 20042, 20043, 20045]","['电吉他 和鸣', '雨伞 守心', '茶壶 灵愈', '电池 欧姆', '橡皮 忘怀', '牙膏 露洁', '电池 伏特', '注射器 针妮', '刀 藏锋', '协力攻击', '爆裂药瓶', '接力']"
58,"[""10010"",""10022"",""20043"",""20016"",""20045"",""10023"",""10042"",""10017"",""20025"",""10031"",""20042"",""20024""]",1,0,1,"[10010, 10017, 10022, 10023, 10031, 10042, 20016, 20024, 20025, 20042, 20043, 20045]","['电吉他 和鸣', '电池 欧姆', '橡皮 忘怀', '牙膏 露洁', '注射器 针妮', '刀 藏锋', '引力炸弹', '裂地斩', '修建工事', '协力攻击', '爆裂药瓶', '接力']"
59,"[""10010"",""10023"",""20026"",""10030"",""20027"",""10042"",""20050"",""20048"",""20044"",""10028"",""20049"",""10020""]",1,0,1,"[10010, 10020, 10023, 10028, 10030, 10042, 20026, 20027, 20044, 20048, 20049, 20050]","['电吉他 和鸣', '时钟 晨曦', '牙膏 露洁', '羽毛球 拉丽', '鼠标 点点', '刀 藏锋', '风暴针刺', '嗜血杀戮', '胡乱抓挠', '超电磁炮', '尖刺墙', '海浪冲击']"
