"日期","channel_name","国家地区","newUser","activeUser","payNum","payNumWeb","payUser","activePayUser","payRate","payUserNew","payRateNew","ARPU","ARPPU","onlineTimeMin","payNumNew","payUserNew2","payNum2"
"2024-06-27(四)","AppStore","波兰","0","0","-","-","-","-","0%","0","0%","0","-","0","-","-","-"
"2024-06-27(四)","googleplay","危地马拉","0","0","-","-","-","-","0%","0","0%","0","-","0","-","-","-"
"2024-06-27(四)","AppStore","巴拉圭","1","1","-","-","-","-","0%","0","0%","0","-","94.75","-","-","-"
"2024-06-27(四)","googleplay","土耳其","0","0","-","-","-","-","0%","0","0%","0","-","0","-","-","-"
"2024-06-27(四)","AppStore","多米尼加共和国","0","0","-","-","-","-","0%","0","0%","0","-","0","-","-","-"
"2024-06-27(四)","googleplay","匈牙利","0","0","-","-","-","-","0%","0","0%","0","-","0","-","-","-"
"2024-06-27(四)","AppStore","缅甸","1","1","-","-","-","-","0%","0","0%","0","-","30.12","-","-","-"
"2024-06-27(四)","AppStore","南非","0","0","-","-","-","-","0%","0","0%","0","-","0","-","-","-"
"2024-06-27(四)","AppStore","尼泊尔","0","0","-","-","-","-","0%","0","0%","0","-","0","-","-","-"
"2024-06-27(四)","AppStore","阿联酋","0","0","0","0","0","0","0%","0","0%","0","0","0","0","0","0"
"2024-06-27(四)","googleplay","波兰","0","0","-","-","-","-","0%","0","0%","0","-","0","-","-","-"
"2024-06-27(四)","googleplay","巴拉圭","0","0","-","-","-","-","0%","0","0%","0","-","0","-","-","-"
"2024-06-27(四)","AppStore","法属波利尼西亚","0","0","-","-","-","-","0%","0","0%","0","-","0","-","-","-"
"2024-06-27(四)","googleplay","巴哈马","0","0","-","-","-","-","0%","0","0%","0","-","0","-","-","-"
"2024-06-27(四)","googleplay","柬埔寨","0","0","-","-","-","-","0%","0","0%","0","-","0","-","-","-"
"2024-06-27(四)","AppStore","克罗地亚","0","0","-","-","-","-","0%","0","0%","0","-","0","-","-","-"
"2024-06-27(四)","AppStore","哥斯达黎加","0","0","-","-","-","-","0%","0","0%","0","-","0","-","-","-"
"2024-06-27(四)","googleplay","阿尔及利亚","0","0","-","-","-","-","0%","0","0%","0","-","0","-","-","-"
"2024-06-27(四)","AppStore","老挝","1","1","-","-","-","-","0%","0","0%","0","-","25.2","-","-","-"
"2024-06-27(四)","AppStore","墨西哥","0","0","-","-","-","-","0%","0","0%","0","-","0","-","-","-"
"2024-06-27(四)","AppStore","丹麦","1","1","-","-","-","-","0%","0","0%","0","-","24","-","-","-"
"2024-06-27(四)","AppStore","伊拉克","0","0","-","-","-","-","0%","0","0%","0","-","0","-","-","-"
"2024-06-27(四)","googleplay","乌克兰","0","0","-","-","-","-","0%","0","0%","0","-","0","-","-","-"
"2024-06-27(四)","googleplay","白俄罗斯","0","0","-","-","-","-","0%","0","0%","0","-","0","-","-","-"
"2024-06-27(四)","AppStore","芬兰","0","0","-","-","-","-","0%","0","0%","0","-","0","-","-","-"
"2024-06-27(四)","googleplay","玻利维亚","0","0","-","-","-","-","0%","0","0%","0","-","0","-","-","-"
"2024-06-27(四)","AppStore","摩洛哥","0","0","-","-","-","0","0%","0","0%","0","-","0","-","-","-"
"2024-06-27(四)","googleplay","荷兰","0","0","-","-","-","-","0%","0","0%","0","-","0","-","-","-"
"2024-06-27(四)","googleplay","以色列","1","1","-","-","-","-","0%","0","0%","0","-","14.67","-","-","-"
"2024-06-27(四)","AppStore","摩尔多瓦","0","0","-","-","-","-","0%","0","0%","0","-","0","-","-","-"
"2024-06-27(四)","googleplay","阿联酋","0","0","0","0","0","0","0%","0","0%","0","0","0","0","0","0"
"2024-06-27(四)","AppStore","英属维尔京群岛","0","0","-","-","-","-","0%","0","0%","0","-","0","-","-","-"
"2024-06-27(四)","googleplay","斯里兰卡","0","0","-","-","-","-","0%","0","0%","0","-","0","-","-","-"
"2024-06-27(四)","AppStore","意大利","1","1","-","-","-","0","0%","0","0%","0","-","47.87","-","-","-"
"2024-06-27(四)","googleplay","新西兰","0","0","-","-","-","-","0%","0","0%","0","-","0","-","-","-"
"2024-06-27(四)","googleplay","缅甸","0","0","-","-","-","-","0%","0","0%","0","-","0","-","-","-"
"2024-06-27(四)","AppStore","葡萄牙","0","0","-","-","-","-","0%","0","0%","0","-","0","-","-","-"
"2024-06-27(四)","AppStore","挪威","0","0","-","-","-","-","0%","0","0%","0","-","0","-","-","-"
"2024-06-27(四)","googleplay","伊朗","0","0","-","-","-","-","0%","0","0%","0","-","0","-","-","-"
"2024-06-27(四)","googleplay","洪都拉斯","0","0","-","-","-","-","0%","0","0%","0","-","0","-","-","-"
"2024-06-27(四)","googleplay","伊拉克","0","0","-","-","-","-","0%","0","0%","0","-","0","-","-","-"
"2024-06-27(四)","AppStore","马耳他","-","0","-","-","-","0","0%","0","-","0","-","0","-","-","-"
"2024-06-27(四)","AppStore","关岛","-","0","-","-","-","-","0%","0","-","0","-","0","-","-","-"
"2024-06-27(四)","AppStore","希腊","-","0","0","0","0","0","0%","0","-","0","0","0","0","0","0"
"2024-06-27(四)","googleplay","关岛","-","0","-","-","-","0","0%","0","-","0","-","0","-","-","-"
"2024-06-27(四)","googleplay","卡塔尔","-","0","-","-","-","-","0%","0","-","0","-","0","-","-","-"
"2024-06-27(四)","AppStore","卡塔尔","-","0","-","-","-","0","0%","0","-","0","-","0","-","-","-"
"2024-06-27(四)","AppStore","白俄罗斯","-","0","-","-","-","-","0%","0","-","0","-","0","-","-","-"
"2024-06-27(四)","AppStore","阿塞拜疆","-","0","-","-","-","-","0%","0","-","0","-","0","-","-","-"
"2024-06-27(四)","googleplay","摩洛哥","-","0","-","-","-","-","0%","0","-","0","-","0","-","-","-"
"2024-06-27(四)","AppStore","北马里亚纳群岛","-","0","-","-","-","-","0%","0","-","0","-","0","-","-","-"
"2024-06-27(四)","AppStore","爱尔兰","-","0","0","0","0","0","0%","0","-","0","0","0","0","0","0"
"2024-06-27(四)","googleplay","南非","-","0","-","-","-","-","0%","0","-","0","-","0","-","-","-"
"2024-06-27(四)","AppStore","比利时","-","0","-","-","-","0","0%","0","-","0","-","0","-","-","-"
"2024-06-27(四)","AppStore","土耳其","-","0","-","-","-","-","0%","0","-","0","-","0","-","-","-"
"2024-06-28(五)","AppStore","日本","15,971","37,090","26,474.45","0","1,504","4,591","4.06%","493","3.04%","0.71","17.6","89.94","9,232.01","711","10,647.23"
"2024-06-28(五)","googleplay","日本","4,492","8,276","3,701","0","278","860","3.36%","141","3.12%","0.45","13.31","82.45","1,751.93","133","1,520.53"
"2024-06-28(五)","AppStore","中国","86","128","15.92","0","6","8","4.69%","3","3.41%","0.12","2.65","84.6","2.97","5","8.95"
"2024-06-28(五)","googleplay","中国","31","53","0","0","0","5","0%","0","0%","0","0","114.42","0","0","0"
"2024-06-28(五)","AppStore","美国","17","30","29.92","0","3","3","10%","3","17.65%","1","9.97","59.67","29.92","2","11.96"
"2024-06-28(五)","googleplay","越南","10","19","-","-","-","-","0%","0","0%","0","-","59.09","-","-","-"
"2024-06-28(五)","googleplay","韩国","8","11","0","0","0","1","0%","0","0%","0","0","95.74","0","0","0"
"2024-06-28(五)","googleplay","泰国","1","5","0","0","0","0","0%","0","0%","0","0","69.56","0","0","0"
"2024-06-28(五)","AppStore","越南","9","14","0","0","0","1","0%","0","0%","0","0","78.34","0","0","0"
"2024-06-28(五)","googleplay","马来西亚","3","9","0","0","0","0","0%","0","0%","0","0","44.75","0","0","0"
"2024-06-28(五)","googleplay","美国","7","10","-","-","-","1","0%","0","0%","0","-","54.32","-","-","-"
"2024-06-28(五)","AppStore","加拿大","5","9","26.96","0","1","1","11.11%","0","0%","3","26.96","120.79","0","1","26.96"
"2024-06-28(五)","AppStore","泰国","5","11","24.94","0","1","3","9.09%","0","0%","2.27","24.94","108.25","0","0","0"
"2024-06-28(五)","AppStore","韩国","1","7","0","0","0","0","0%","0","0%","0","0","47.53","0","0","0"
"2024-06-28(五)","googleplay","印度尼西亚","0","1","0","0","0","0","0%","0","0%","0","-","13.03","0","0","0"
"2024-06-28(五)","AppStore","澳大利亚","3","4","0","0","0","0","0%","0","0%","0","0","72.91","0","0","0"
"2024-06-28(五)","googleplay","俄罗斯","4","7","-","-","-","-","0%","0","0%","0","-","55.23","-","-","-"
"2024-06-28(五)","AppStore","马来西亚","2","6","0","0","0","1","0%","0","0%","0","0","78.02","0","0","0"
"2024-06-28(五)","AppStore","英国","1","2","69.98","0","1","1","50%","0","0%","34.99","69.98","94.33","0","0","0"
"2024-06-28(五)","googleplay","墨西哥","0","0","0","0","0","0","0%","0","0%","0","0","0","0","0","0"
"2024-06-28(五)","googleplay","新加坡","1","1","-","-","-","-","0%","0","0%","0","-","30.58","-","-","-"
"2024-06-28(五)","googleplay","巴西","1","2","-","-","-","-","0%","0","0%","0","-","57.76","-","-","-"
"2024-06-28(五)","AppStore","新加坡","2","4","0","0","0","0","0%","0","0%","0","0","83.8","0","0","0"
"2024-06-28(五)","AppStore","菲律宾","2","3","-","-","-","0","0%","0","0%","0","-","69.83","-","-","-"
"2024-06-28(五)","googleplay","加拿大","1","5","-","-","-","-","0%","0","0%","0","-","45.41","-","-","-"
"2024-06-28(五)","AppStore","新西兰","3","4","-","-","-","-","0%","0","0%","0","-","52.16","-","-","-"
"2024-06-28(五)","googleplay","法国","1","1","-","-","-","-","0%","0","0%","0","-","33.65","-","-","-"
"2024-06-28(五)","googleplay","多米尼加共和国","4","4","-","-","-","-","0%","0","0%","0","-","39.93","-","-","-"
"2024-06-28(五)","googleplay","智利","2","2","-","-","-","-","0%","0","0%","0","-","68.48","-","-","-"
"2024-06-28(五)","googleplay","德国","0","0","-","-","-","-","0%","0","0%","0","-","0","-","-","-"
"2024-06-28(五)","AppStore","俄罗斯","1","2","-","-","-","-","0%","0","0%","0","-","55.88","-","-","-"
"2024-06-28(五)","googleplay","阿根廷","1","2","-","-","-","-","0%","0","0%","0","-","65.38","-","-","-"
"2024-06-28(五)","AppStore","德国","1","4","0","0","0","0","0%","0","0%","0","0","100.16","0","0","0"
"2024-06-28(五)","googleplay","菲律宾","2","2","0","0","0","0","0%","0","0%","0","0","45.68","0","0","0"
"2024-06-28(五)","AppStore","印度尼西亚","0","0","0","0","0","0","0%","0","0%","0","0","0","0","0","0"
"2024-06-28(五)","googleplay","秘鲁","1","1","-","-","-","-","0%","0","0%","0","-","10.28","-","-","-"
"2024-06-28(五)","googleplay","澳大利亚","1","1","-","-","-","0","0%","0","0%","0","-","23.97","-","-","-"
"2024-06-28(五)","AppStore","巴西","3","3","0","0","0","0","0%","0","0%","0","0","66.26","0","0","0"
"2024-06-28(五)","googleplay","哥伦比亚","0","0","-","-","-","-","0%","0","0%","0","-","0","-","-","-"
"2024-06-28(五)","AppStore","法国","1","2","10.97","0","1","1","50%","0","0%","5.49","10.97","216.36","0","1","10.97"
"2024-06-28(五)","googleplay","厄瓜多尔","1","1","-","-","-","-","0%","0","0%","0","-","50.22","-","-","-"
"2024-06-28(五)","googleplay","英国","0","0","-","-","-","-","0%","0","0%","0","-","0","-","-","-"
"2024-06-28(五)","googleplay","意大利","1","2","-","-","-","-","0%","0","0%","0","-","60","-","-","-"
"2024-06-28(五)","AppStore","荷兰","1","1","-","-","-","0","0%","0","0%","0","-","30.78","-","-","-"
"2024-06-28(五)","googleplay","哥斯达黎加","0","1","-","-","-","-","0%","0","0%","0","-","66.82","-","-","-"
"2024-06-28(五)","googleplay","西班牙","0","0","-","-","-","-","0%","0","0%","0","-","0","-","-","-"
"2024-06-28(五)","googleplay","印度","0","0","-","-","-","-","0%","0","0%","0","-","0","-","-","-"
"2024-06-28(五)","AppStore","阿根廷","1","1","-","-","-","0","0%","0","0%","0","-","139.02","-","-","-"
"2024-06-28(五)","AppStore","柬埔寨","1","2","-","-","-","-","0%","0","0%","0","-","11.15","-","-","-"
"2024-06-28(五)","AppStore","瑞士","2","2","-","-","-","-","0%","0","0%","0","-","112.43","-","-","-"
"2024-06-28(五)","googleplay","比利时","0","0","-","-","-","-","0%","0","0%","0","-","0","-","-","-"
"2024-06-28(五)","AppStore","西班牙","1","1","-","-","-","-","0%","0","0%","0","-","38.28","-","-","-"
"2024-06-28(五)","googleplay","乌拉圭","0","0","-","-","-","-","0%","0","0%","0","-","0","-","-","-"
"2024-06-28(五)","AppStore","蒙古","0","0","-","-","-","-","0%","0","0%","0","-","0","-","-","-"
"2024-06-28(五)","AppStore","印度","0","0","-","-","-","-","0%","0","0%","0","-","0","-","-","-"
"2024-06-28(五)","googleplay","埃及","1","2","-","-","-","-","0%","0","0%","0","-","70.33","-","-","-"
"2024-06-28(五)","googleplay","巴拿马","0","0","-","-","-","-","0%","0","0%","0","-","0","-","-","-"
"2024-06-28(五)","AppStore","瑞典","0","0","-","-","-","0","0%","0","0%","0","-","0","-","-","-"
"2024-06-28(五)","googleplay","沙特阿拉伯","0","0","-","-","-","-","0%","0","0%","0","-","0","-","-","-"
"2024-06-28(五)","AppStore","波兰","0","0","-","-","-","-","0%","0","0%","0","-","0","-","-","-"
"2024-06-28(五)","googleplay","危地马拉","0","0","-","-","-","-","0%","0","0%","0","-","0","-","-","-"
"2024-06-28(五)","AppStore","巴拉圭","0","1","-","-","-","-","0%","0","0%","0","-","27.78","-","-","-"
"2024-06-28(五)","googleplay","土耳其","0","0","-","-","-","-","0%","0","0%","0","-","0","-","-","-"
"2024-06-28(五)","AppStore","多米尼加共和国","0","0","-","-","-","-","0%","0","0%","0","-","0","-","-","-"
"2024-06-28(五)","googleplay","匈牙利","0","0","-","-","-","-","0%","0","0%","0","-","0","-","-","-"
"2024-06-28(五)","AppStore","缅甸","0","0","-","-","-","-","0%","0","0%","0","-","0","-","-","-"
"2024-06-28(五)","AppStore","南非","0","0","-","-","-","-","0%","0","0%","0","-","0","-","-","-"
"2024-06-28(五)","AppStore","尼泊尔","0","0","-","-","-","-","0%","0","0%","0","-","0","-","-","-"
"2024-06-28(五)","AppStore","阿联酋","1","1","14.99","0","1","1","100%","1","100%","14.99","14.99","134.23","14.99","1","14.99"
"2024-06-28(五)","googleplay","波兰","0","0","-","-","-","-","0%","0","0%","0","-","0","-","-","-"
"2024-06-28(五)","googleplay","巴拉圭","0","0","-","-","-","-","0%","0","0%","0","-","0","-","-","-"
"2024-06-28(五)","AppStore","法属波利尼西亚","1","1","-","-","-","-","0%","0","0%","0","-","9.87","-","-","-"
"2024-06-28(五)","googleplay","巴哈马","0","0","-","-","-","-","0%","0","0%","0","-","0","-","-","-"
"2024-06-28(五)","googleplay","柬埔寨","0","0","-","-","-","-","0%","0","0%","0","-","0","-","-","-"
"2024-06-28(五)","AppStore","克罗地亚","0","0","-","-","-","-","0%","0","0%","0","-","0","-","-","-"
"2024-06-28(五)","AppStore","哥斯达黎加","1","1","-","-","-","-","0%","0","0%","0","-","95.47","-","-","-"
"2024-06-28(五)","googleplay","阿尔及利亚","0","0","-","-","-","-","0%","0","0%","0","-","0","-","-","-"
"2024-06-28(五)","AppStore","老挝","0","1","-","-","-","-","0%","0","0%","0","-","178.52","-","-","-"
"2024-06-28(五)","AppStore","墨西哥","0","0","-","-","-","-","0%","0","0%","0","-","0","-","-","-"
"2024-06-28(五)","AppStore","丹麦","0","0","-","-","-","-","0%","0","0%","0","-","0","-","-","-"
"2024-06-28(五)","AppStore","伊拉克","1","1","-","-","-","-","0%","0","0%","0","-","156.22","-","-","-"
"2024-06-28(五)","googleplay","乌克兰","0","0","-","-","-","-","0%","0","0%","0","-","0","-","-","-"
"2024-06-28(五)","googleplay","白俄罗斯","0","0","-","-","-","-","0%","0","0%","0","-","0","-","-","-"
"2024-06-28(五)","AppStore","芬兰","0","0","-","-","-","-","0%","0","0%","0","-","0","-","-","-"
"2024-06-28(五)","googleplay","玻利维亚","0","0","-","-","-","-","0%","0","0%","0","-","0","-","-","-"
"2024-06-28(五)","AppStore","摩洛哥","0","0","-","-","-","0","0%","0","0%","0","-","0","-","-","-"
"2024-06-28(五)","googleplay","荷兰","0","0","-","-","-","-","0%","0","0%","0","-","0","-","-","-"
"2024-06-28(五)","googleplay","以色列","0","1","-","-","-","-","0%","0","0%","0","-","72.28","-","-","-"
"2024-06-28(五)","AppStore","摩尔多瓦","0","0","-","-","-","-","0%","0","0%","0","-","0","-","-","-"
"2024-06-28(五)","googleplay","阿联酋","0","0","0","0","0","0","0%","0","0%","0","0","0","0","0","0"
"2024-06-28(五)","AppStore","英属维尔京群岛","0","0","-","-","-","-","0%","0","0%","0","-","0","-","-","-"
"2024-06-28(五)","googleplay","斯里兰卡","0","0","-","-","-","-","0%","0","0%","0","-","0","-","-","-"
"2024-06-28(五)","AppStore","意大利","0","0","-","-","-","0","0%","0","0%","0","-","0","-","-","-"
"2024-06-28(五)","googleplay","新西兰","0","0","-","-","-","-","0%","0","0%","0","-","0","-","-","-"
"2024-06-28(五)","googleplay","缅甸","0","0","-","-","-","-","0%","0","0%","0","-","0","-","-","-"
"2024-06-28(五)","AppStore","葡萄牙","0","0","-","-","-","-","0%","0","0%","0","-","0","-","-","-"
"2024-06-28(五)","AppStore","挪威","0","0","-","-","-","-","0%","0","0%","0","-","0","-","-","-"
"2024-06-28(五)","googleplay","伊朗","1","1","-","-","-","-","0%","0","0%","0","-","10.28","-","-","-"
"2024-06-28(五)","googleplay","洪都拉斯","0","0","-","-","-","-","0%","0","0%","0","-","0","-","-","-"
"2024-06-28(五)","googleplay","伊拉克","0","0","-","-","-","-","0%","0","0%","0","-","0","-","-","-"
"2024-06-28(五)","AppStore","马耳他","-","0","-","-","-","0","0%","0","-","0","-","0","-","-","-"
"2024-06-28(五)","AppStore","关岛","-","0","-","-","-","-","0%","0","-","0","-","0","-","-","-"
"2024-06-28(五)","AppStore","希腊","-","0","0","0","0","0","0%","0","-","0","0","0","0","0","0"
"2024-06-28(五)","googleplay","关岛","-","0","-","-","-","0","0%","0","-","0","-","0","-","-","-"
"2024-06-28(五)","googleplay","卡塔尔","-","0","-","-","-","-","0%","0","-","0","-","0","-","-","-"
"2024-06-28(五)","AppStore","卡塔尔","-","0","-","-","-","0","0%","0","-","0","-","0","-","-","-"
"2024-06-28(五)","AppStore","白俄罗斯","-","0","-","-","-","-","0%","0","-","0","-","0","-","-","-"
"2024-06-28(五)","AppStore","阿塞拜疆","-","0","-","-","-","-","0%","0","-","0","-","0","-","-","-"
"2024-06-28(五)","googleplay","摩洛哥","-","0","-","-","-","-","0%","0","-","0","-","0","-","-","-"
"2024-06-28(五)","AppStore","北马里亚纳群岛","-","0","-","-","-","-","0%","0","-","0","-","0","-","-","-"
"2024-06-28(五)","AppStore","爱尔兰","-","0","0","0","0","0","0%","0","-","0","0","0","0","0","0"
"2024-06-28(五)","googleplay","南非","-","0","-","-","-","-","0%","0","-","0","-","0","-","-","-"
"2024-06-28(五)","AppStore","比利时","-","0","-","-","-","0","0%","0","-","0","-","0","-","-","-"
"2024-06-28(五)","AppStore","土耳其","-","0","-","-","-","-","0%","0","-","0","-","0","-","-","-"
"2024-06-29(六)","AppStore","日本","14,992","38,775","29,286.88","0","1,609","5,366","4.15%","463","3.04%","0.76","18.2","86","7,079.72","697","10,581.44"
"2024-06-29(六)","googleplay","日本","5,459","9,888","7,095.43","0","435","1,187","4.4%","207","3.77%","0.72","16.31","82.3","3,177.6","239","3,146.24"
"2024-06-29(六)","AppStore","中国","79","135","0.99","0","1","10","0.74%","1","1.25%","0.01","0.99","91.19","0.99","0","0"
"2024-06-29(六)","googleplay","中国","9","34","96.92","0","2","3","5.88%","0","0%","2.85","48.46","154.63","0","0","0"
"2024-06-29(六)","AppStore","美国","11","25","9.99","0","1","5","4%","0","0%","0.4","9.99","66.52","0","0","0"
"2024-06-29(六)","googleplay","越南","12","20","-","-","-","-","0%","0","0%","0","-","68.54","-","-","-"
"2024-06-29(六)","googleplay","韩国","2","4","0","0","0","1","0%","0","0%","0","0","91.48","0","0","0"
"2024-06-29(六)","googleplay","泰国","6","8","0","0","0","0","0%","0","0%","0","0","30.45","0","0","0"
"2024-06-29(六)","AppStore","越南","4","16","0","0","0","2","0%","0","0%","0","0","105.28","0","0","0"
"2024-06-29(六)","googleplay","马来西亚","2","6","0","0","0","0","0%","0","0%","0","0","124.6","0","0","0"
"2024-06-29(六)","googleplay","美国","3","6","-","-","-","0","0%","0","0%","0","-","56.89","-","-","-"
"2024-06-29(六)","AppStore","加拿大","2","7","0","0","0","0","0%","0","0%","0","0","86.52","0","0","0"
"2024-06-29(六)","AppStore","泰国","2","12","22.98","0","1","3","8.33%","0","0%","1.91","22.98","102.28","0","0","0"
"2024-06-29(六)","AppStore","韩国","3","5","0","0","0","0","0%","0","0%","0","0","79.18","0","0","0"
"2024-06-29(六)","googleplay","印度尼西亚","2","3","0","0","0","0","0%","0","0%","0","-","116.68","0","0","0"
